analysis	gene	group	n_cells	mean_log_norm	detection_fraction
ibd_crohn_epithelial	OSM	case	4701	0.0018308890643542498	0.0010636034886194426
ibd_crohn_epithelial	OSM	control	6713	0.00027765888001630306	0.00029792939073439596
ibd_crohn_epithelial	PFKFB3	case	4701	0.04959359601859373	0.04318230163794937
ibd_crohn_epithelial	PFKFB3	control	6713	0.023473460481800015	0.02353642186801728
ibd_crohn_epithelial	PLIN2	case	4701	0.053493745314641516	0.05488194001276324
ibd_crohn_epithelial	PLIN2	control	6713	0.09307243963965385	0.09712498137941308
ibd_crohn_epithelial	RFX5	case	4701	0.02755342767463909	0.02893001489044884
ibd_crohn_epithelial	RFX5	control	6713	0.015297850424587783	0.016684045881126174
ibd_crohn_epithelial	SLC2A1	case	4701	0.0941743842927094	0.09423526909168262
ibd_crohn_epithelial	SLC2A1	control	6713	0.06525442859875637	0.07522717116043498
ibd_crohn_epithelial	SPP1	case	4701	0.0015254611768658144	0.0014890448840672197
ibd_crohn_epithelial	SPP1	control	6713	0.0	0.0
ibd_crohn_epithelial	STAT1	case	4701	0.20757361622974962	0.1748564135290364
ibd_crohn_epithelial	STAT1	control	6713	0.08061384670489402	0.07880232384924774
ibd_crohn_epithelial	TAP1	case	4701	0.24823416290345307	0.20974260795575408
ibd_crohn_epithelial	TAP1	control	6713	0.1330897023075088	0.12691792045285266
ibd_crohn_epithelial	TAP2	case	4701	0.14013872887932802	0.13401403956604976
