analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	contrast_call
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	PTPN6	5	17	2.116537459481766	2.1220951933028216	-0.0055577338210555	-0.0027777864903724	-0.0063164435775653	0.9951185340829698	0.0211226389241155	0.0216901276953127	0.6363636363636364	2.1208320719798546	False	0.9990757181753972	False	False	False	False	null_or_weak
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	SH2D1B	3	3	1.029767463002018	1.3695871134817623	-0.3398196504797446	-0.7137201125559048	-1.09265630932734	0.3359782553233271	0.0137950494305864	0.0134296522617303	1.0	1.19967728824189	False	0.7399776206083662	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	SH2D1B	3	3	1.141411071797406	0.8858623989954388	0.2555486728019671	0.5860819035463591	0.8972510069797791	0.4368471017409432	0.0168443493629346	0.0108039876900966	1.0	1.0136367353964224	False	0.7133128975726771	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	SH2D1B	6	6	0.3323116053096417	0.241813291846464	0.0904983134631776	0.2297800672844097	0.4311566470284589	0.676122470828521	0.0011887024477829	0.00059840409778	0.5	0.2870624485780529	False	0.8400777094575039	False	False	False	False	null_or_weak
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	SH2D1B	6	6	0.1587868584835784	0.241813291846464	-0.0830264333628856	-0.2173511245436308	-0.4078351233577827	0.6923857125615032	0.0009009009009009	0.00059840409778	0.3333333333333333	0.2003000751650212	False	0.876829254077956	False	False	False	False	null_or_weak
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	SH2D1B	3	3	0.743720090618575	1.158830639449896	-0.4151105488313209	-0.2550515075201113	-0.390466282219937	0.7161029953368032	0.0148148148148148	0.0110404624277456	0.5	0.9512753650342356	False	0.9179021505017724	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	SIGLEC10	3	19	0.0	0.2580292810238161	-0.2580292810238161	-0.7078948834213847	-3.0428484835674148	0.0070007835281223	0.0	0.0019570091754139	0.3181818181818182	0.2228434699751139	False	0.2368293228537662	False	True	False	False	negative_nominal
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	SIGLEC10	3	3	4.5464678707305195	2.7314483868165347	1.8150194839139848	1.354539681292273	2.073706909698886	0.1486822662653084	0.0992811890838206	0.0405202312138728	1.0	3.638958128773527	False	0.7297013371935511	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	SIGLEC10	3	3	0.1845416451365572	0.1310888059636274	0.0534528391729298	1.1685435751657824	1.7889596883523549	0.158121870520237	0.0020617914287659	0.0010421651406216	1.0	0.1578152255500923	False	0.5197468884415193	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	SIGLEC10	6	6	0.0363906996190057	0.1586667128585155	-0.1222760132395097	-0.7898229992295767	-1.4820146939563994	0.1802638520445164	7.978299026647519e-05	0.0004546821690204	0.3333333333333333	0.0975287062387606	False	0.4702571194043928	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	SIGLEC10	11	14	0.4077022764711618	0.0804957063539222	0.3272065701172395	0.439857832699793	1.005427431082362	0.3369158103142737	0.0005682242756681	0.0002561053554706	0.2	0.2244665972055076	False	0.8441184433525579	False	False	False	False	null_or_weak
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	SIGLEC10	5	19	0.4221588747292942	0.1943503899084312	0.2278084848208629	0.2961301237285298	0.8943202532558654	0.3865613003597134	0.0020825257955557	0.0011737466267692	0.25	0.2418104909127777	False	0.6926680575104728	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	SIGLEC10	9	13	6.174960005889371	6.473320550157999	-0.2983605442686281	-0.2988656983607327	-0.7611344362665764	0.455486695275886	0.1075599035031852	0.1896870332325973	1.0	6.351263963866288	False	0.9715241121707002	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	SIGLEC10	6	6	6.166951234674257	5.833543327322251	0.3334079073520062	0.3679516863975692	0.6904202668688433	0.5102287297233553	0.1927916901702465	0.1351660983972877	1.0	6.000247280998253	False	0.8004477042430369	False	False	False	False	null_or_weak
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	SIGLEC10	3	3	0.3713492767626307	0.4565548303341838	-0.0852055535715531	-0.2517536592657365	-0.3854175037997204	0.7262612088328553	0.0034183690853274	0.0033699510063131	1.0	0.4139520535484073	False	0.915541817220492	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	SIGLEC10	10	14	0.5191930794539354	0.4161687536590812	0.1030243257948542	0.1222039324168872	0.3082653468249907	0.7610505651749757	0.0007662317091846	0.0009986320109439	0.2916666666666667	0.4590955560736038	False	0.966639677801808	False	False	False	False	null_or_weak
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	SIGLEC10	6	6	0.1165445464111654	0.1586667128585155	-0.04212216644735	-0.1625779743670271	-0.3050594211115983	0.7676824358187532	0.0009009009009009	0.0004546821690204	0.3333333333333333	0.1376056296348405	False	0.9097998230617892	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	SIGLEC10	6	6	5.882310454579152	5.833543327322251	0.0487671272569008	0.0764175666032998	0.1433890336100017	0.8888534854243748	0.1502547264783174	0.1351660983972877	1.0	5.857926890950701	False	0.9769895668661102	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	TYRO3	3	3	3.5352375865112795	4.200901261546586	-0.6656636750353067	-4.042981735996031	-6.189526432863754	0.0035662408996899	0.1132133191831322	0.1625350005150023	1.0	3.8680694240289335	True	0.3849693710143581	False	True	False	False	negative_nominal
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	TYRO3	9	13	0.0	0.9618264484562744	-0.9618264484562744	-0.6509152231276781	-1.889666782863072	0.0831974400630659	0.0	0.0048372299065638	0.1363636363636363	0.5683519922696166	True	0.941417255008202	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	TYRO3	11	14	2.0877530965828797	2.614090311992697	-0.5263372154098174	-0.7657557751248618	-1.824783437015519	0.0894067601736082	0.0105708491324164	0.0163952505921425	0.96	2.382501937212377	True	0.8441184433525579	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	TYRO3	10	14	3.126561024817945	3.75799394357114	-0.6314329187531951	-0.63864983250055	-1.558469714179994	0.1368040848261988	0.0152193129608135	0.0241794811540834	1.0	3.494896894090642	True	0.8513570785865089	False	False	False	False	null_or_weak
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	TYRO3	3	3	1.8949601198141195	0.9168885966131564	0.978071523200963	1.0366130844541723	1.5869831985033296	0.1885982053431673	0.0273513645224171	0.0106666666666666	0.8333333333333334	1.405924358213638	True	0.7297013371935511	False	False	False	False	null_or_weak
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	TYRO3	3	3	2.7048716375009967	2.51535054093874	0.1895210965622564	0.9893155090940696	1.5145738699389013	0.2144198752389068	0.0527073297032644	0.037236224273224	1.0	2.610111089219868	True	0.6817758161218003	False	False	False	False	null_or_weak
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	TYRO3	5	18	2.7248042245525483	3.781002058218851	-1.0561978336663027	-1.0692423659001224	-1.3091560954983008	0.2564808855539721	0.0365297912519726	0.0563094562832666	0.9565217391304348	3.5513938335087856	True	0.6524005962209817	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	TYRO3	6	6	0.8672360040298607	0.2736239536074098	0.5936120504224509	0.5970323744430786	1.120264606823807	0.2942942734863547	0.0054048172571972	0.0016181229773462	0.3333333333333333	0.5704299788186352	True	0.6679927787333536	False	False	False	False	null_or_weak
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	TYRO3	4	17	3.397800702908018	3.7718824193535	-0.3740817164454819	-0.2555375008087265	-0.5863508526157266	0.5788537574086686	0.05187911952736	0.0781918306401111	0.9523809523809524	3.70062875907817	True	0.8568823919389021	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	TYRO3	6	6	0.4362752321968156	0.2736239536074098	0.1626512785894057	0.2169596294971255	0.4071005266037024	0.6925437913043934	0.0021258174449663	0.0016181229773462	0.25	0.3549495929021127	True	0.8905998341077221	False	False	False	False	null_or_weak
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	TYRO3	6	6	1.7944573339238847	2.1228231045771353	-0.3283657706532505	-0.2131817290180599	-0.4000117180633819	0.698560031020029	0.0242421420387522	0.021845829544943	0.75	1.95864021925051	True	0.9053324364927706	False	False	False	False	null_or_weak
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	TYRO3	5	19	3.9255116636897975	4.134805156229746	-0.2092934925399481	-0.224577629505401	-0.3871476072578055	0.7139142683925565	0.0762233959412892	0.0869335996161905	1.0	4.091202345283924	True	0.8711584029670644	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	TYRO3	6	6	1.2736710753576344	1.1514425737380871	0.122228501619547	0.2010350777653056	0.3772198828591588	0.717826863508165	0.0058827432546363	0.0042979852967872	0.9166666666666666	1.212556824547861	True	0.8641601678650918	False	False	False	False	null_or_weak
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	TYRO3	6	6	1.8891182006932787	2.1228231045771353	-0.2337049038838565	-0.1958699084481942	-0.367528019198315	0.720939993626446	0.0236348222660622	0.021845829544943	0.8333333333333334	2.0059706526352072	True	0.9099851485532612	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	TYRO3	3	19	0.9649833079580256	0.7945461977773491	0.1704371101806764	0.2026485727837335	0.3222454268776151	0.7715233834793768	0.0041950351673874	0.0056673619069261	0.7272727272727273	0.8177876218928959	True	0.9374334057486734	False	False	False	False	null_or_weak
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	TYRO3	5	17	2.6670885568500293	2.495428621044971	0.1716599358050579	0.1137601153688635	0.2148261136568538	0.8371205144301748	0.0255871535609025	0.0256539812319779	0.8181818181818182	2.5344422428188484	True	0.9431726524576832	False	False	False	False	null_or_weak
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	TYRO3	6	6	1.0962705680228917	1.1514425737380871	-0.0551720057151956	-0.0433811044690968	-0.081399800114673	0.9373103796054262	0.0083791534449429	0.0042979852967872	0.6666666666666666	1.1238565708804895	True	0.9760880820791028	False	False	False	False	null_or_weak
