disease	dataset	modality	compartment	gene	metric	n_case	n_control	delta	hedges_g	p	fdr	support_level	support_score
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	HLA-DRB1	donor_mean_z_score	11	14	0.4902068404512489	1.0742713894843123	0.0269286629556291	0.2462049184514662	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	HLA-DRB1	donor_mean_z_score	9	13	0.1373054043438484	0.6251907502648422	0.1619588523758129	0.5027645172258243	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	HLA-DRB1	donor_mean_z_score	18	18	-0.0811512743020223	-0.321875153041354	0.3304150865863239	0.6538120058436172	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	HLA-DRB1	donor_mean_z_score	5	18	0.086985118536945	0.4381871437985268	0.4860111755603449	0.7284476636033272	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	HLA-DRB1	donor_mean_z_score	3	19	0.5740915937669568	1.7384192653953952	0.3569495545782983	0.6697088274008902	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	HLA-DRB1	donor_mean_z_score	5	19	0.1565721714218617	0.6039186380518878	0.3025546572068385	0.6318108940969792	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	HLA-DRB1	donor_mean_z_score	6	6	0.5281442989535441	1.664290558037389	0.0115476514718442	0.2115464453984163	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	HLA-DRB1	donor_mean_z_score	6	6	0.268342724624644	0.9745656814462328	0.1134422146493002	0.4362298680148599	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	IFI30	donor_mean_z_score	6	6	0.0081130124876819	0.1054844986092524	0.8470686562777052	0.9282944178385812	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	IFI30	donor_mean_z_score	6	6	0.2552958108497963	0.843991694790414	0.1451503592112551	0.4820551620872594	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	IFI30	sample_mean_log1p_cpm_gene	3	2	0.3486386858235329	1.1167353306829275	0.1617956589379999	0.2811133221822033	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	IFI30	sample_mean_log1p_cpm_gene	3	2	1.1606960252667051	10.930225247761118	0.0019805532137378	0.0123445608961745	strong	3.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	IFI30	log2_expression	10	11	0.21016237009791	0.3729738390500611	0.379946954952182	0.557255533929867	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	IFI30	donor_mean_z_score	9	13	-0.076706369138795	-0.22512797186707	0.6091147946997085	0.8080290610838258	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	IFI30	donor_mean_z_score	11	14	-0.0110610846951377	-0.1073491822690996	0.7865349421735165	0.8986982737495077	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	IFI30	donor_mean_z_score	3	3	0.0599467383498008	0.8571698167675067	0.293850183263836	0.6282346900516931	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	IFI30	donor_mean_z_score	3	3	0.1437540613475386	1.0326125708558176	0.2146870594615817	0.560181718962771	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	IFI30	donor_mean_z_score	18	18	0.0303312824351221	0.1619300766370061	0.6230649884363663	0.8129696077457175	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	IFI30	donor_mean_z_score	5	18	0.1877332489683019	0.7702312000886463	0.3825081452601188	0.6755387876465898	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	IFI30	donor_mean_z_score	3	19	0.0445510168952734	0.5382184742405459	0.36605389714177	0.670313288042154	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	IFI30	donor_mean_z_score	5	19	0.1410387944341999	1.0795353075517642	0.2248592225595364	0.5665744190476509	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	IFI30	donor_mean_z_score	6	6	0.7648590789032715	1.4021029246437446	0.0364897593142796	0.268430413346425	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	IFI30	donor_mean_z_score	6	6	-0.0455146400852175	-0.4950319047840366	0.3770099523526453	0.6719136511750013	null_or_negative	0.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	IFI44L	log2_expression	10	11	-0.8025137513260177	-0.5754803931113993	0.2145630880597352	0.4374321458700838	null_or_negative	0.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	IL1B	donor_mean_z_score	6	6	0.4306576032188216	1.3937588301831274	0.0462822292278306	0.2970376034929863	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	IL1B	donor_mean_z_score	6	6	1.0621722080183984	1.5072657491893755	0.0292023099616901	0.2524236222046254	trend	1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	IL1B	log2_expression	10	11	-0.4438671148785484	-0.4828107808113894	0.2706928133384321	0.4796536808525973	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	IL1B	donor_mean_z_score	11	14	0.0295216330011371	0.7802273505745865	0.0873443980404425	0.3903993046313901	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	IL1B	donor_mean_z_score	9	13	-0.0071230901486217	-0.0232511320243629	0.9534583096729649	0.9835459415676534	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	IL1B	donor_mean_z_score	3	3	0.0783337101434922	0.6404467330964742	0.4028584290288779	0.6848058288937101	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	IL1B	donor_mean_z_score	3	3	-0.1839358858578346	-0.5120353330457367	0.5073225552213727	0.7404479711326762	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	IL1B	donor_mean_z_score	18	18	-0.0964217563446165	-0.2867107835037659	0.3852832983369422	0.6774211838891293	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	IL1B	donor_mean_z_score	5	18	0.1698773902099234	1.415698067363911	0.2162096649748703	0.560181718962771	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	IL1B	donor_mean_z_score	3	19	0.2169175664463664	1.6181709758660738	0.4455974476975477	0.7032857374264625	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	IL1B	donor_mean_z_score	5	19	0.6271473839269097	1.4694852938474054	0.1697351519947521	0.5158738156777407	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	IL1B	donor_mean_z_score	6	6	0.5683119205476564	1.9457716622993877	0.0140535719400986	0.2115464453984163	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	IL1B	donor_mean_z_score	6	6	1.2653606977043623	1.8760675331294772	0.0116347888367271	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	IRF1	donor_mean_z_score	6	6	0.3482355638078055	1.7947135036986277	0.0092360210639659	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	IRF1	donor_mean_z_score	6	6	0.6349826254390419	2.010411058644704	0.0036605852577191	0.2115464453984163	trend	1.0
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	IRF1	sample_mean_log1p_cpm_gene	3	2	0.1583219139926401	0.941158901309947	0.2060415983397573	0.2811133221822033	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	IRF1	sample_mean_log1p_cpm_gene	3	2	0.37082819405417	11.331107873994076	0.000321207260759	0.0027116891048613	strong	3.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	IRF1	log2_expression	10	11	-0.0303981739668568	-0.0418791682937852	0.9222930745319916	0.9897779336440884	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	IRF1	donor_mean_z_score	9	13	0.0658013425664847	0.1718580069022533	0.674869275106133	0.8364534062594112	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	IRF1	donor_mean_z_score	11	14	-0.0625517170230725	-0.2318268573891961	0.5481934695188155	0.7710853197627295	null_or_negative	0.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	IRF1	donor_mean_z_score	3	3	0.1692645491485338	0.6156068849881751	0.4187287901759864	0.6978813169599773	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	IRF1	donor_mean_z_score	3	3	-0.3146480485920719	-1.1017031627709248	0.2051303893041769	0.5548997911703838	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	IRF1	donor_mean_z_score	18	18	-0.0703812362454103	-0.2399471840705932	0.4666876516403698	0.7154014300594891	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	IRF1	donor_mean_z_score	5	18	0.2294250946690103	0.6604388730574999	0.2939942026101282	0.6282346900516931	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	IRF1	donor_mean_z_score	3	19	0.4905712971492227	1.7851139148997763	0.3670232824778989	0.6709386230906579	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	IRF1	donor_mean_z_score	5	19	0.069272396202847	0.2375327002383164	0.601938459268986	0.8064963435817452	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	IRF1	donor_mean_z_score	6	6	0.1918720814095427	1.277633045481562	0.0376122187683096	0.2719979662341036	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	IRF1	donor_mean_z_score	6	6	0.2933768614436087	1.0565378269569723	0.0771551146495575	0.3611851485441884	trend	1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	IRF7	log2_expression	10	11	-0.4757977783497438	-0.9699872410744144	0.0302975458870109	0.2084781797654941	negative_trend	-1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	ISG15	log2_expression	10	11	-0.1422560252729487	-0.1340080123710743	0.7526984486437367	0.8951008578466058	null_or_negative	0.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	LAMP1	donor_mean_z_score	6	6	-0.0591978165323183	-0.4394030047627337	0.4288911012866129	0.7004686662140702	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	LAMP1	donor_mean_z_score	6	6	-0.0551389323616001	-0.2951363232846641	0.5953835368269069	0.8064454255433237	null_or_negative	0.0
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	LAMP1	sample_mean_log1p_cpm_gene	3	2	0.1230801617573943	0.6699738680040505	0.3163724308190545	0.352876942067407	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	LAMP1	sample_mean_log1p_cpm_gene	3	2	-0.1193308989484198	-0.4656284771223161	0.4596853684641945	0.4677500240512856	null_or_negative	0.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	LAMP1	log2_expression	10	11	0.1622595591982687	0.499356848431654	0.2569490798415539	0.4796536808525973	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	LAMP1	donor_mean_z_score	9	13	-0.1681492389745517	-0.619118901123557	0.1139265932797267	0.4366049083773958	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	LAMP1	donor_mean_z_score	11	14	-0.109378573022328	-0.4710626979270657	0.2104823524857797	0.5548997911703838	null_or_negative	0.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	LAMP1	donor_mean_z_score	3	3	0.04388273048283	0.1165193096762668	0.868316474120376	0.9387848745970312	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	LAMP1	donor_mean_z_score	3	3	-0.2531878956887177	-0.9679826526035754	0.2351652329296159	0.5741159163065723	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	LAMP1	donor_mean_z_score	18	18	-0.013089492644671	-0.0957233501815748	0.7710505889193526	0.8909259431450516	null_or_negative	0.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	LAMP1	donor_mean_z_score	5	19	0.0691869416890324	0.3101363337721088	0.615096198913767	0.808389386477243	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	LAMP1	donor_mean_z_score	5	18	-0.0490990611393261	-0.2183241706007485	0.6437616958949375	0.823270243272619	null_or_negative	0.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	LAMP1	donor_mean_z_score	3	19	-0.2780058703448156	-0.7814219307973375	0.3387106543993416	0.6538120058436172	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	LAMP1	donor_mean_z_score	6	6	-0.0521204052412171	-0.3862989356555275	0.4851642783742422	0.7280920032464963	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	LAMP1	donor_mean_z_score	6	6	-0.0539799661257597	-0.299993793573485	0.591196843638748	0.8033247981503158	null_or_negative	0.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	LAMP2	donor_mean_z_score	6	6	0.0213249047846495	0.1668564750455431	0.7634469718101659	0.8896909771355345	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	LAMP2	donor_mean_z_score	6	6	0.0864769924659988	0.7249387975648263	0.2175541754679686	0.560181718962771	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	LAMP2	sample_mean_log1p_cpm_gene	3	2	0.0745380489618292	0.6131849345034797	0.3637457677464139	0.3980614062130567	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	LAMP2	sample_mean_log1p_cpm_gene	3	2	0.0542252037673951	0.590904353527704	0.4107296845652485	0.4331331219051711	positive_null	0.25
MS	GSE111972	sorted_bulk_microglia	white matter microglia	LAMP2	log2_expression	10	11	0.1348382785283046	0.4676148239106621	0.2874373653306042	0.4864324644056378	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	LAMP2	donor_mean_z_score	9	13	0.0005931841125039	0.0020222635140133	0.9958835866628016	1.0	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	LAMP2	donor_mean_z_score	11	14	-0.1251711320757829	-0.5945350335097899	0.1157215812927009	0.4378572877174881	null_or_negative	0.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	LAMP2	donor_mean_z_score	3	3	0.132420656910154	0.5988758533959974	0.4422179219660795	0.7032857374264625	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	LAMP2	donor_mean_z_score	3	3	-0.0747978874249975	-0.5157989850558012	0.4843079235615407	0.7280920032464963	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	LAMP2	donor_mean_z_score	18	18	0.0024626629641419	0.0209216486982086	0.9491940015197085	0.9828295631307048	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	LAMP2	donor_mean_z_score	5	18	0.1655409641143493	0.8181722978043251	0.2360080049360407	0.5741159163065723	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	LAMP2	donor_mean_z_score	3	19	0.0226925410769788	0.0997993785755117	0.9158831917128148	0.9627493046084964	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	LAMP2	donor_mean_z_score	5	19	0.2057114885656809	0.9614447622800588	0.2172591794418366	0.560181718962771	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	LAMP2	donor_mean_z_score	6	6	0.032752116749058	0.1698518256723342	0.7572953043700501	0.8895468240242101	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	LAMP2	donor_mean_z_score	6	6	-0.0510159320100621	-0.4696944770196778	0.4046778910700319	0.685312985718468	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	LAMP3	donor_mean_z_score	6	6	0.7512757560621286	1.9635046530934497	0.0136602017575319	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	LAMP3	donor_mean_z_score	6	6	0.0606739069219708	0.5055879255264996	0.3734423130043658	0.6713173319968172	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	LAMP3	sample_mean_log1p_cpm_gene	3	2	0.0235280418152696	0.9891571179321328	0.1927900607434033	0.2811133221822033	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	LAMP3	sample_mean_log1p_cpm_gene	3	2	0.0757941501602616	1.3269252794182274	0.1227730770500171	0.2683048065914392	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	LAMP3	donor_mean_z_score	9	13	0.0117668829372955	0.0489279180597365	0.9022064308332988	0.957171832289792	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	LAMP3	donor_mean_z_score	11	14	0.0172486364496804	0.2108589954859198	0.5982769703269629	0.8064963435817452	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	LAMP3	donor_mean_z_score	3	3	0.2413583482393835	0.6016344495300565	0.4535838304921022	0.7080332963779158	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	LAMP3	donor_mean_z_score	3	3	0.2215253983067185	0.533555878469326	0.4963655096187117	0.7360750987373887	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	LAMP3	donor_mean_z_score	18	18	-0.0241368079202978	-0.5438729374357254	0.1134879266007408	0.4362298680148599	null_or_negative	0.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	LAMP3	donor_mean_z_score	5	19	0.0107603224554187	0.0982927937493717	0.8653989426459575	0.9386142762011374	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	LAMP3	donor_mean_z_score	5	18	-0.055888761814165	-0.4522864406534071	0.2973686735079762	0.6307913680077337	null_or_negative	0.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	LAMP3	donor_mean_z_score	3	19	-0.0522260521194749	-0.3423165840266432	0.4108973561265726	0.6903770570085578	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	LAMP3	donor_mean_z_score	6	6	0.6837590293302532	1.2020497853177448	0.0732171162459389	0.3567628069288295	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	LAMP3	donor_mean_z_score	6	6	-0.0522463577106948	-0.9991270968754572	0.1196809191159183	0.4399059915491654	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	LDHA	donor_mean_z_score	6	6	0.2353799979349458	0.8322795627180204	0.1521116992503682	0.4929189241530918	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	LDHA	donor_mean_z_score	6	6	-0.0055089765187671	-0.0331448244628385	0.9516511747653356	0.9831424565775864	null_or_negative	0.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	LDHA	log2_expression	10	11	-0.000476769839846	-0.000592535637199	0.9989163197567034	0.9989163197567034	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	LDHA	donor_mean_z_score	11	14	0.0045188491102218	0.0130521054037421	0.973635282245305	0.9994010916391264	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	LDHA	donor_mean_z_score	9	13	-0.0022791865391382	-0.0086764532614201	0.9833203623733926	1.0	null_or_negative	0.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	LDHA	donor_mean_z_score	3	3	0.1207438949657113	0.303528658471346	0.6670562675761444	0.8330068512170389	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	LDHA	donor_mean_z_score	3	3	-0.1613979540415022	-0.5123439843880949	0.4772821474256977	0.7246988715360535	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	LDHA	donor_mean_z_score	18	18	0.0695182206446899	0.5031603761302731	0.1322529130328092	0.4662940826383155	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	LDHA	donor_mean_z_score	5	18	0.511762545020599	1.4762178506425778	0.0221591821789948	0.2278630381639821	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	LDHA	donor_mean_z_score	3	19	0.9843673445319152	2.1012214696922555	0.2306202612723883	0.5709747281018511	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	LDHA	donor_mean_z_score	5	19	0.253408217910015	0.5857437442494231	0.2435773145496641	0.5778753664564542	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	LDHA	donor_mean_z_score	6	6	0.5446432708571131	1.8874430696255409	0.006250155677157	0.2115464453984163	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	LDHA	donor_mean_z_score	6	6	0.1562601748558706	0.6318978582789656	0.2696601774785235	0.6072696506124344	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	LIPA	donor_mean_z_score	6	6	0.1016685419638706	1.3616921695874478	0.0462655565782944	0.2970376034929863	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	LIPA	donor_mean_z_score	6	6	-0.333300637549467	-1.3475355708659786	0.0382876106256649	0.2720553892923929	negative_trend	-1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	LIPA	log2_expression	10	11	0.4580110941773352	0.492824360482639	0.2725305004844303	0.4796536808525973	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	LIPA	donor_mean_z_score	11	14	-0.0039689830536677	-0.02307576045571	0.953578526160514	0.9835459415676534	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	LIPA	donor_mean_z_score	9	13	-0.180048080228531	-0.7058358369527951	0.0795226045183853	0.366147243825659	negative_trend	-1.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	LIPA	donor_mean_z_score	3	3	0.3039484567114809	3.639496989667814	0.0072165085959196	0.2115464453984163	trend	1.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	LIPA	donor_mean_z_score	3	3	-0.0151033366699719	-0.1032519065967871	0.8858206323741137	0.9493843510271576	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	LIPA	donor_mean_z_score	18	18	-0.0283298478351717	-0.3545530812329762	0.285105614287721	0.6154663611585752	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	LIPA	donor_mean_z_score	5	18	0.2032586622018607	1.559069063826943	0.0713370948406301	0.356338991302587	trend	1.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	LIPA	donor_mean_z_score	5	19	0.3159850825415997	2.606175864744595	0.0015668692536479	0.1917174114402367	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	LIPA	donor_mean_z_score	3	19	0.1828711989760092	0.7493243781218133	0.6088745763120997	0.8080290610838258	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	LIPA	donor_mean_z_score	6	6	0.0415583384820979	0.4104042965908278	0.474191303513061	0.7234039934003591	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	LIPA	donor_mean_z_score	6	6	-0.3596520870065405	-1.5000005168636494	0.0277521039068247	0.2484104405645849	negative_trend	-1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	LPL	donor_mean_z_score	6	6	0.5797955785457602	1.7188946442563224	0.0231423398135294	0.2278630381639821	trend	1.0
