gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood
SRRM1	17	0	0	0	0	0	0										False
SRRM2	17	1	0	0	0	1	0	Crohn disease		0.023783068797915828	0.22032082744237516	0.7638472300678867	1.4223946894291017			ibd_crohn_epithelial:0.764,p=0.024	False
SRRM2-AS1	16	0	0	0	0	0	0										False
SRRM3	14	0	1	0	0	0	1		Crohn disease					0.016285107692602854	-1.7992637686275017		False
SRRM4	5	0	0	0	0	0	0										False
SRRM5	13	0	0	0	0	0	0										False
SRRT	17	0	3	0	0	0	3		Crohn disease;type 1 diabetes mellitus;ulcerative colitis					0.031186205143174196	-0.7601756418024346		False
SRSF1	17	2	1	0	0	2	1	psoriasis;type 1 diabetes mellitus	ulcerative colitis	0.03779177593482936	0.40135352811309466	0.49072241214951173	1.7548108395951159	0.04233923633682598	-0.41139471410156236	psoriasis_skin_stromal:0.267,p=0.038;t1d_endothelial_cell:0.491,p=0.042	False
SRSF10	17	0	1	0	0	0	1		type 1 diabetes mellitus					0.030272540112131506	-0.23261827064467688		False
SRSF11	17	0	0	0	0	0	0										False
SRSF12	17	0	2	0	0	0	1		psoriasis					0.014789344091156073	-1.9845669188015402		False
SRSF2	17	0	2	0	0	0	1		ulcerative colitis					0.022902634701484362	-0.8292860958378556		False
SRSF3	17	4	2	1	0	1	2	type 1 diabetes mellitus	Crohn disease;ulcerative colitis	0.0006903955953937906	0.09126607679558257	0.33170205523801144	0.9925359733195566	0.04113868362373731	-0.7199399619357241	t1d_endothelial_cell:0.332,p=0.00069;t1d_acinar_cell:0.268,p=0.035;t1d_stellate_cell:0.316,p=0.043;t1d_ductal_cell:0.21,p=0.044	False
SRSF4	17	0	0	0	0	0	0										False
SRSF5	17	0	2	0	0	0	1		ulcerative colitis					0.020989416590969843	-0.780260114485297		False
SRSF6	17	2	0	0	0	2	0	Crohn disease;type 1 diabetes mellitus		0.017267106163585722	0.19578526930066192	0.7009034339316624	1.0933033556837115			ibd_crohn_epithelial:0.279,p=0.017;t1d_stellate_cell:0.701,p=0.033	False
SRSF7	17	2	0	0	0	1	0	type 1 diabetes mellitus		0.017956725970462443	0.3328531210256671	0.5718464311608473	0.8120495511963867			t1d_stellate_cell:0.386,p=0.018;t1d_acinar_cell:0.572,p=0.044	False
SRSF8	17	1	0	0	0	1	0	Crohn disease		0.007946823107222594	0.1555809197084154	0.48500089091889365	1.8344097257532153			ibd_crohn_epithelial:0.485,p=0.0079	False
SRSF9	17	1	0	0	0	1	0	psoriasis		0.029652837446586127	0.5573166126275022	0.29845359678210936	3.436791243611296			psoriasis_skin_stromal:0.298,p=0.03	False
SRXN1	9	2	0	0	0	1	0	type 1 diabetes mellitus		0.001341054937314016	0.208596128629057	1.9734468340522275	1.284387081921451			t1d_acinar_cell:1.52,p=0.0013;t1d_endothelial_cell:1.97,p=0.0096	False
SRY	4	0	0	0	0	0	0										False
SS18	14	0	0	0	0	0	0										False
SS18L1	17	0	0	0	0	0	0										False
SS18L2	17	3	1	0	0	3	1	Sjogren syndrome;psoriasis;type 1 diabetes mellitus	psoriasis	0.007040673987363523	0.5133482186473521	0.9422572776581548	0.96481533948499	0.020866416600566047	-0.3881533160013326	psoriasis_skin_apc:0.942,p=0.007;t1d_acinar_cell:0.391,p=0.028;sjogren_gland_stromal:0.457,p=0.04	False
SSB	17	1	0	0	0	1	0	ulcerative colitis		0.04332384797702051	0.3587763305031044	0.27141981098103507	1.2458584203136653			ibd_uc_stromal:0.271,p=0.043	False
SSBP1	14	3	0	0	0	2	0	type 1 diabetes mellitus;ulcerative colitis		0.015676294258851864	0.2230066889421821	0.616767785045564	1.0950691994867812			ibd_uc_epithelial:0.543,p=0.016;t1d_stellate_cell:0.349,p=0.016;t1d_acinar_cell:0.617,p=0.039	False
SSBP2	17	0	2	0	0	0	2		psoriasis;ulcerative colitis					0.03948333737139834	-0.7915801411422745		False
SSBP3	17	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.009695467672503507	-1.1750679026918682		False
SSBP3-AS1	10	0	1	0	0	0	1		type 1 diabetes mellitus					0.02351103308299649	-1.03458937860518		False
SSBP4	17	0	0	0	0	0	0										False
SSC4D	10	0	0	0	0	0	0										False
SSC5D	17	0	1	0	0	0	1		psoriasis					0.0012698618929038034	-1.3492895332691863		False
SSFA2	6	0	0	0	0	0	0										False
SSH1	17	2	1	0	0	2	1	psoriasis;ulcerative colitis	type 1 diabetes mellitus	0.03559429760404621	0.3431644003629339	1.450404033101393	2.091555759091767	0.03484847133842098	-0.9672117015797346	psoriasis_keratinocyte:1.45,p=0.036;ibd_uc_stromal:1.13,p=0.037	False
SSH2	17	1	0	0	0	1	0	ulcerative colitis		0.031464126542555676	0.34071069720733155	0.9492626617197306	1.407266356721309			ibd_uc_myeloid:0.949,p=0.031	False
SSH3	17	0	0	0	0	0	0										False
SSMEM1	1	0	0	0	0	0	0										False
SSNA1	17	1	0	0	0	1	0	psoriasis		0.025512751563572817	0.7297013371935511	0.7666877536889931	3.084924992705734			psoriasis_skin_apc:0.767,p=0.026	False
SSPN	17	1	2	0	0	1	1	type 1 diabetes mellitus	psoriasis	0.022530379848729864	0.42003314858132074	0.8457548052131938	0.935763452598006	0.004632194248001812	-1.8699300848545413	t1d_ductal_cell:0.846,p=0.023	False
SSPO	7	0	0	0	0	0	0										False
SSPOP	6	0	0	0	0	0	0										False
SSR1	17	3	0	0	0	3	0	Crohn disease;psoriasis;ulcerative colitis		0.003575673302912085	0.12574674039416245	0.7517729888250289	2.069653849165601			ibd_uc_epithelial:0.645,p=0.0036;ibd_crohn_epithelial:0.676,p=0.0059;psoriasis_skin_apc:0.752,p=0.03	False
SSR2	17	2	0	0	0	1	0	type 1 diabetes mellitus		0.0037809489288216412	0.17885176062992525	0.5272920232039091	1.6378045062452826			t1d_endothelial_cell:0.527,p=0.0038;t1d_stellate_cell:0.209,p=0.018	False
SSR3	17	4	0	2	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		2.7488587328691106e-05	0.013653048832382862	1.2775168410888265	2.6981637526654905			ibd_uc_epithelial:1.28,p=2.7e-05;ibd_uc_stromal:0.773,p=0.00014;ibd_crohn_epithelial:0.667,p=0.0093;t1d_acinar_cell:0.262,p=0.014	False
SSR4	17	4	2	2	0	2	1	Crohn disease;ulcerative colitis	type 1 diabetes mellitus	2.6186121380808196e-05	0.017306655890395133	0.7525884730109738	2.349999675487748	0.0014256547399697176	-0.36483531091339394	ibd_uc_stromal:0.578,p=2.6e-05;ibd_uc_epithelial:0.753,p=0.00095;ibd_crohn_epithelial:0.527,p=0.0048;ibd_crohn_stromal:0.26,p=0.042	False
SSRP1	17	1	0	0	0	1	0	psoriasis		0.028704802607608375	0.5560654875640701	0.3878683529823128	2.708514858705321			psoriasis_skin_stromal:0.388,p=0.029	False
SSSCA1	6	1	0	0	0	1	0	ulcerative colitis		0.0017542582604598625	0.10507471328777337	0.6595003894532674	3.0415781768761847			ibd_uc_stromal:0.66,p=0.0018	False
SSSCA1-AS1	3	1	0	0	0	1	0	psoriasis		0.039402009940125444	0.40121785300954577	0.48807091914887235	2.1943403163868402			psoriasis_keratinocyte:0.488,p=0.039	False
SST	8	0	0	0	0	0	0										False
SSTR1	12	0	2	0	0	0	2		type 1 diabetes mellitus;ulcerative colitis					0.028220654706580754	-1.2575695362015826		False
SSTR2	17	0	2	0	1	0	2		Crohn disease;ulcerative colitis					4.712356890071503e-05	-2.295897477490325		False
SSTR3	4	0	0	0	0	0	0										False
SSTR5	1	0	0	0	0	0	0										False
SSTR5-AS1	2	0	0	0	0	0	0										False
SSU72	17	1	0	0	0	1	0	Sjogren syndrome		0.012557288637919498	0.9414172550082021	0.5197459842331842	1.0256543832145228			sjogren_gland_apc:0.52,p=0.013	False
SSU72-AS1	8	0	0	0	0	0	0										False
SSUH2	12	0	3	0	1	0	3		Crohn disease;type 1 diabetes mellitus;ulcerative colitis					0.0006804292787146208	-2.2441879108514486		False
SSX1	3	0	0	0	0	0	0										False
SSX2B	3	0	0	0	0	0	0										False
SSX2IP	17	2	1	0	0	2	1	Crohn disease;ulcerative colitis	type 1 diabetes mellitus	0.01334935826380851	0.1821548301696104	1.0375291462994336	1.4624112450649525	0.016900545659057215	-1.328160946685232	ibd_crohn_epithelial:0.69,p=0.013;ibd_uc_epithelial:1.04,p=0.045	False
SSX3	2	0	0	0	0	0	0										False
SSX5	2	0	0	0	0	0	0										False
SSX7	2	0	0	0	0	0	0										False
ST13	17	0	4	0	0	0	3		Crohn disease;psoriasis;ulcerative colitis					0.0013802879841646922	-0.6525977655569566		False
ST14	17	3	2	1	0	2	2	psoriasis;type 1 diabetes mellitus	Crohn disease;ulcerative colitis	0.0005765737618449882	0.08849560581493457	2.4323375410254737	2.1298073558436186	0.00264455874629279	-1.3705558206699937	t1d_endothelial_cell:2.43,p=0.00058;t1d_stellate_cell:2.42,p=0.0034;psoriasis_keratinocyte:1.2,p=0.0075	False
ST18	13	1	0	0	0	1	0	Sjogren syndrome		0.035032464442612515	0.9414172550082021	2.0204664916237274	0.9356172817932933			sjogren_gland_apc:2.02,p=0.035	False
ST20	17	4	1	0	0	3	1	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	0.0027120310253970084	0.14784605890098404	2.5236149202859206	1.4746671314445061	0.007224048471855262	-1.5886579177797753	ibd_crohn_myeloid:2.52,p=0.0027;ibd_uc_myeloid:2.18,p=0.0086;t1d_stellate_cell:2.01,p=0.0098;t1d_acinar_cell:0.977,p=0.029	False
ST20-AS1	17	2	0	0	0	2	0	Crohn disease;ulcerative colitis		0.03165297535196292	0.3413320849170598	1.348205333676858	1.2836910488288447			ibd_uc_myeloid:1.35,p=0.032;ibd_crohn_myeloid:1.28,p=0.046	False
ST20-MTHFS	6	0	0	0	0	0	0										False
ST3GAL1	17	1	0	1	0	1	0	ulcerative colitis		0.001303824443815235	0.07917032163049506	3.2349816132783253	2.8941559241036487			ibd_uc_epithelial:3.23,p=0.0013	False
ST3GAL1-DT	8	0	0	0	0	0	0										False
ST3GAL2	17	3	0	0	0	2	0	Crohn disease;ulcerative colitis		0.00500930702799401	0.17919329271795703	1.2598792088908186	1.7268938846313262			ibd_crohn_myeloid:1.26,p=0.005;ibd_uc_myeloid:1.09,p=0.011;ibd_crohn_epithelial:0.71,p=0.042	False
ST3GAL3	17	1	1	0	0	1	1	type 1 diabetes mellitus	Crohn disease	0.028284324148645616	0.4348205101758167	0.9029299268032429	0.7692402206501798	0.039684397787913106	-1.3386679247519162	t1d_ductal_cell:0.903,p=0.028	False
ST3GAL4	17	1	0	0	0	1	0	ulcerative colitis		0.010946257018019916	0.19562474166198102	1.1110041295448587	1.8719075364704205			ibd_uc_epithelial:1.11,p=0.011	False
ST3GAL5	17	0	0	0	0	0	0										False
ST3GAL5-AS1	10	0	0	0	0	0	0										False
ST3GAL6	17	1	2	0	0	1	2	Crohn disease	Sjogren syndrome;ulcerative colitis	0.03330506239233075	0.565243752187669	1.861603120038022	1.3144820898314147	0.03783089613281863	-0.9920740583545329	ibd_crohn_stromal:1.86,p=0.033	False
ST3GAL6-AS1	14	1	0	0	0	1	0	type 1 diabetes mellitus		0.03258821489810022	0.37549189258460935	2.3562895141851183	1.1163278090326814			t1d_endothelial_cell:2.36,p=0.033	False
ST5	9	3	0	0	0	3	0	Crohn disease;psoriasis;ulcerative colitis		0.0028818474667823353	0.11704739392969689	2.1423617019232015	2.2466547953349427			ibd_uc_epithelial:1.44,p=0.0029;psoriasis_keratinocyte:2.14,p=0.0046;ibd_crohn_epithelial:0.803,p=0.011	False
ST6GAL1	17	2	2	0	0	2	2	Crohn disease;type 1 diabetes mellitus	Sjogren syndrome;ulcerative colitis	0.009367956789398228	0.3050877357883434	2.671133358363118	1.8504904641500128	0.0011411275184723948	-0.8407594940810208	ibd_crohn_stromal:1.64,p=0.0094;t1d_endothelial_cell:2.67,p=0.016	False
ST6GAL2	11	0	1	0	0	0	1		psoriasis					0.0296837508946618	-1.1669244500762457		False
ST6GAL2-IT1	1	0	0	0	0	0	0										False
ST6GALNAC1	16	0	1	0	0	0	1		psoriasis					0.049757357059933255	-0.9861398354789239		False
ST6GALNAC2	10	0	2	0	0	0	2		Sjogren syndrome;ulcerative colitis					0.0051894578487655385	-1.9935482926925001		False
ST6GALNAC3	16	1	1	0	0	1	1	ulcerative colitis	ulcerative colitis	0.014794576633245191	0.2642006213184074	1.3536530919738383	1.6153308072907409	0.02887502816492077	-1.4199433153947618	ibd_uc_myeloid:1.35,p=0.015	False
ST6GALNAC4	17	2	0	0	0	2	0	psoriasis;type 1 diabetes mellitus		0.012952110898354402	0.41581656630359154	1.2324754811875005	1.733190579613694			psoriasis_skin_stromal:0.452,p=0.013;t1d_endothelial_cell:1.23,p=0.046	False
ST6GALNAC5	9	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.019160857215713065	-1.5583970174892983		False
ST6GALNAC6	16	0	0	0	0	0	0										False
ST7	17	1	0	0	0	1	0	Crohn disease		0.003333695621297994	0.12749137645617747	1.0660111435607207	2.1930315862038428			ibd_crohn_epithelial:1.07,p=0.0033	False
ST7-AS1	15	1	0	1	0	1	0	ulcerative colitis		0.00038698366747998364	0.05511702306775528	1.4140459245445003	2.791348384217183			ibd_uc_stromal:1.41,p=0.00039	False
ST7-AS2	4	0	0	0	0	0	0										False
ST7L	17	1	1	0	0	1	1	type 1 diabetes mellitus	Sjogren syndrome	0.04609515807788522	0.44562635354182584	0.8529248010707837	0.5758565076956046	0.04761152751890769	-0.3051925992380875	t1d_stellate_cell:0.853,p=0.046	False
ST8SIA1	15	0	0	0	0	0	0										False
ST8SIA2	6	0	0	0	0	0	0										False
ST8SIA3	5	0	0	0	0	0	0										False
ST8SIA4	17	0	1	0	0	0	1		Sjogren syndrome					0.03353851400044762	-0.5958219724472489		False
ST8SIA5	13	0	0	0	0	0	0										False
ST8SIA6	10	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.019189347326704936	-1.7535850904616053		False
ST8SIA6-AS1	8	0	1	0	0	0	1		Sjogren syndrome					0.0014887452033939127	-0.6209084262761417		False
STAB1	16	2	3	0	0	2	2	psoriasis;ulcerative colitis	Crohn disease;ulcerative colitis	0.00258666040683345	0.3140274027475989	2.1095317459956546	3.018122525124727	0.0020928955258224676	-2.318152987317413	psoriasis_skin_stromal:2.11,p=0.0026;ibd_uc_stromal:2.06,p=0.029	True
STAB2	9	0	1	0	0	0	1		ulcerative colitis					0.008466204758052667	-1.0851894533391035		False
STAC	7	0	0	0	0	0	0										False
STAC2	13	0	1	0	0	0	1		ulcerative colitis					0.003913477427606292	-1.1406501587354825		False
STAC3	15	2	0	1	0	2	0	psoriasis;type 1 diabetes mellitus		9.394360196301851e-05	0.02871770508734964	1.8348768398239876	2.3220012405669106			t1d_beta_cell:1.83,p=9.4e-05;psoriasis_skin_apc:1.44,p=0.035	False
STAG1	17	0	1	0	0	0	1		ulcerative colitis					0.00750304960155121	-0.7502543594618558		False
STAG1-DT	7	0	1	0	0	0	1		type 1 diabetes mellitus					0.0266488876825566	-0.5399611881899484		False
STAG2	17	0	0	0	0	0	0										False
STAG2-AS1	8	0	0	0	0	0	0										False
STAG3	17	0	2	0	0	0	2		Crohn disease;Sjogren syndrome					0.00042664355577142827	-1.9629980769154178		False
STAG3L5P-PVRIG2P-PILRB	3	0	0	0	0	0	0										False
STAM	17	1	0	0	0	1	0	psoriasis		0.017793768929959434	0.3986198211135948	0.6666233132934911	2.6670196503461647			psoriasis_keratinocyte:0.667,p=0.018	False
STAM-AS1	8	1	0	0	0	1	0	psoriasis		0.033781194786180226	0.40019800162873154	0.6814670872025004	3.138244066754893			psoriasis_keratinocyte:0.681,p=0.034	False
STAM-DT	8	0	1	0	0	0	1		Sjogren syndrome					0.022147125694830145	-1.3814415266165265		False
STAM2	17	0	0	0	0	0	0										False
STAMBP	17	0	0	0	0	0	0										False
STAMBPL1	17	2	0	0	0	2	0	Crohn disease;type 1 diabetes mellitus		0.00403750263450231	0.13857974045867316	1.9262624405986672	1.730001053303933			t1d_stellate_cell:1.93,p=0.004;ibd_crohn_epithelial:0.884,p=0.0048	False
STAP1	10	0	0	0	0	0	0										False
STAP2	17	3	1	0	0	1	1	type 1 diabetes mellitus	ulcerative colitis	0.003421472886932908	0.18826113864975014	2.250322283291036	1.0809613092198056	0.019058134179887807	-1.1436513879526506	t1d_ductal_cell:0.762,p=0.0034;t1d_endothelial_cell:2.25,p=0.0045;t1d_stellate_cell:1.55,p=0.029	False
STAR	11	0	0	0	0	0	0										False
STARD10	17	3	0	0	0	2	0	Crohn disease;Sjogren syndrome		0.010077262089731396	0.2344976725771988	2.2132971325209763	1.5055107472350089			ibd_crohn_stromal:1.63,p=0.01;ibd_crohn_epithelial:2.21,p=0.028;sjogren_gland_stromal:0.921,p=0.039	False
STARD13	17	5	2	0	0	4	2	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Sjogren syndrome;ulcerative colitis	0.00048007565574827583	0.1908486458332628	1.2760765185536984	1.7614491171651228	0.0030741826631270706	-2.65831941319947	ibd_crohn_stromal:1.27,p=0.00048;ibd_uc_stromal:0.952,p=0.008;t1d_endothelial_cell:1.28,p=0.012;ibd_crohn_epithelial:0.659,p=0.016;psoriasis_skin_stromal:0.582,p=0.046	False
STARD13-AS	3	1	0	0	0	1	0	psoriasis		0.008580961994577101	0.5232404153085454	0.7702298057151036	4.478117962317935			psoriasis_skin_stromal:0.77,p=0.0086	False
STARD13-IT1	2	0	0	0	0	0	0										False
STARD3	17	0	0	0	0	0	0										False
STARD3NL	17	3	0	0	0	3	0	psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.01568241908280989	0.2869120920854114	0.7110203178341314	1.4615997254682802			psoriasis_keratinocyte:0.711,p=0.016;ibd_uc_stromal:0.547,p=0.022;t1d_stellate_cell:0.494,p=0.026	False
STARD4	17	7	0	0	0	3	0	Crohn disease;psoriasis;ulcerative colitis		0.0019415514537556708	0.1004374183457439	2.361986176119421	2.381757653966516			ibd_uc_myeloid:1.6,p=0.0019;ibd_uc_epithelial:1.7,p=0.002;ibd_uc_stromal:2.36,p=0.01;ibd_crohn_epithelial:1.12,p=0.017;psoriasis_keratinocyte:2.34,p=0.02;psoriasis_skin_stromal:1.75,p=0.035;ibd_crohn_myeloid:1.11,p=0.041	False
STARD4-AS1	17	0	1	0	0	0	1		Sjogren syndrome					0.002695754953442227	-1.1236822450354327		False
STARD5	17	4	0	0	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.006865634068115893	0.21811875548968726	1.9109202261699982	1.361453098615363			t1d_endothelial_cell:1.82,p=0.0069;ibd_crohn_myeloid:1.91,p=0.0083;t1d_stellate_cell:0.848,p=0.032;ibd_uc_myeloid:1.64,p=0.037	False
STARD6	6	0	0	0	0	0	0										False
STARD7	17	0	1	0	0	0	1		ulcerative colitis					0.041963102256055415	-0.5548425172318705		False
STARD7-AS1	3	1	0	0	0	1	0	psoriasis		0.0176262927610345	0.3986198211135948	0.7831420665149924	2.6663550850424227			psoriasis_keratinocyte:0.783,p=0.018	False
STARD8	15	0	0	0	0	0	0										False
STARD9	17	0	0	0	0	0	0										False
STAT1	17	6	0	0	0	3	0	Crohn disease;psoriasis;ulcerative colitis		0.009735772210675528	0.21232885683559885	2.7739210440591284	1.5970367984750538			ibd_crohn_myeloid:1.73,p=0.0097;psoriasis_skin_apc:2.77,p=0.013;ibd_crohn_epithelial:1.2,p=0.022;psoriasis_skin_stromal:1.32,p=0.038;ibd_crohn_stromal:1.37,p=0.039;ibd_uc_myeloid:0.825,p=0.046	False
STAT2	17	2	0	0	0	2	0	psoriasis;type 1 diabetes mellitus		0.011032578431195464	0.3685117248066934	1.0961494558166391	1.8358238316552205			psoriasis_skin_apc:0.813,p=0.011;t1d_endothelial_cell:1.1,p=0.029	False
STAT3	17	4	0	2	0	2	0	Crohn disease;ulcerative colitis		0.00042826712903972755	0.04521900763115646	1.223823578568875	2.0706872259058065			ibd_uc_epithelial:1.22,p=0.00043;ibd_crohn_epithelial:1.12,p=0.0011;ibd_crohn_myeloid:0.731,p=0.0087;ibd_uc_myeloid:0.542,p=0.027	False
STAT4	17	2	0	0	0	2	0	Crohn disease;ulcerative colitis		0.02249226244572406	0.30016067146532244	1.9152945697213184	1.4776657981701147			ibd_uc_myeloid:1.92,p=0.022;ibd_crohn_myeloid:1.72,p=0.036	False
STAT5A	17	1	0	0	0	1	0	Crohn disease		0.04213155617529113	0.2715404513983525	0.8490732855219263	1.3373345269902683			ibd_crohn_epithelial:0.849,p=0.042	False
STAT5B	17	0	1	0	0	0	1		Sjogren syndrome					0.040768377018352536	-0.5190641645270988		False
STAT6	17	4	1	0	0	3	1	psoriasis;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	0.005703914141385621	0.20494156084398316	1.807333978499274	1.6469300974515297	0.017040075888281332	-0.5463549251756907	t1d_endothelial_cell:1.81,p=0.0057;psoriasis_skin_apc:0.386,p=0.021;psoriasis_keratinocyte:0.539,p=0.034;ibd_uc_myeloid:0.508,p=0.045	False
STATH	5	0	0	0	0	0	0										False
STAU1	17	0	0	0	0	0	0										False
STAU2	17	1	0	0	0	1	0	psoriasis		0.005713741137290541	0.5219383401909301	0.45232289942663506	3.5235627001171803			psoriasis_skin_stromal:0.452,p=0.0057	False
STAU2-AS1	9	0	1	0	0	0	1		ulcerative colitis					0.03346326962433285	-0.9942569776740598		False
STBD1	13	0	1	0	0	0	1		ulcerative colitis					0.019676274740520517	-1.7377645140904279		False
STC1	15	1	0	0	0	1	0	Crohn disease		0.016732906746926988	0.19341879200793768	1.0469416948573034	1.5429134866352585			ibd_crohn_epithelial:1.05,p=0.017	False
STC2	14	1	0	0	0	1	0	ulcerative colitis		0.03933498938873043	0.34953793232012836	1.7978510696363696	1.2706454382093053			ibd_uc_stromal:1.8,p=0.039	False
STEAP1	16	1	0	0	0	1	0	ulcerative colitis		0.01807416918690089	0.2614770247511495	2.1291206200773307	1.718026118443772			ibd_uc_stromal:2.13,p=0.018	False
STEAP1B	14	0	2	0	0	0	1		psoriasis					0.0025099371830592933	-1.176518258746082		False
STEAP1B-AS1	3	0	0	0	0	0	0										False
STEAP2	15	3	0	0	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.004084238459482022	0.2905980855169031	2.0113812911846427	1.4822141972100455			ibd_crohn_stromal:1.96,p=0.0041;t1d_stellate_cell:2.01,p=0.013;ibd_uc_stromal:1.62,p=0.023	False
STEAP2-AS1	3	0	0	0	0	0	0										False
STEAP3	17	2	0	0	0	2	0	psoriasis;ulcerative colitis		0.0362123437007489	0.3547885375159094	1.7109331468895397	2.097259689905872			psoriasis_keratinocyte:1.71,p=0.036;ibd_uc_stromal:1.3,p=0.041	False
STEAP3-AS1	3	0	0	0	0	0	0										False
STEAP4	17	2	1	1	0	2	1	Crohn disease;ulcerative colitis	Sjogren syndrome	3.188557695193491e-05	0.04456328234802423	4.991740902858846	3.0685844674881526	0.024672544502860487	-0.9580780647207261	ibd_crohn_myeloid:4.99,p=3.2e-05;ibd_uc_myeloid:3.43,p=0.0053	False
STEEP1	8	0	0	0	0	0	0										False
STH	4	0	1	0	0	0	1		type 1 diabetes mellitus					0.01103887932030958	-0.32012375478426713		False
STIL	17	1	0	0	0	1	0	Crohn disease		0.004262806299073438	0.13489996901952667	1.1382384464800657	1.960302881548871			ibd_crohn_epithelial:1.14,p=0.0043	False
STIM1	17	0	0	0	0	0	0										False
STIM1-AS1	5	0	0	0	0	0	0										False
STIM2	17	1	0	0	0	1	0	Crohn disease		0.0031835066808990915	0.12619847975070084	0.5163324205561484	2.081077306555054			ibd_crohn_epithelial:0.516,p=0.0032	False
STIM2-AS1	8	0	0	0	0	0	0										False
STIMATE	17	0	0	0	0	0	0										False
STIMATE-MUSTN1	3	0	0	0	0	0	0										False
STING1	8	2	1	0	0	1	1	type 1 diabetes mellitus	Sjogren syndrome	0.00024250513950653866	0.11180767784227177	1.814724025878618	1.1054679588941825	0.007067272126765566	-0.28151700703308613	t1d_ductal_cell:1.81,p=0.00024;t1d_stellate_cell:1.47,p=0.011	False
STIP1	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.04294262460270795	0.4051693990025367	1.2322567343965094	0.7445319260600048			t1d_endothelial_cell:1.23,p=0.043	False
STK10	17	2	0	0	0	2	0	Crohn disease;type 1 diabetes mellitus		0.004478372223028476	0.18826113864975014	1.8105891506406406	1.158121821903729			t1d_endothelial_cell:1.81,p=0.0045;ibd_crohn_epithelial:0.407,p=0.028	False
STK11	17	2	0	0	0	2	0	Crohn disease;psoriasis		0.025441669627067003	0.22565649493014645	1.3122789662563759	1.9635224225617844			psoriasis_keratinocyte:0.956,p=0.025;ibd_crohn_epithelial:1.31,p=0.026	False
STK11IP	17	0	0	0	0	0	0										False
STK16	17	0	0	0	0	0	0										False
STK17A	17	1	0	0	0	1	0	Sjogren syndrome		0.041594044884556196	0.9414172550082021	0.6306221436084734	0.8594878876980772			sjogren_gland_apc:0.631,p=0.042	False
STK17B	17	0	1	0	0	0	1		Crohn disease					0.025193188602995756	-0.5844229847084934		False
STK19	14	0	0	0	0	0	0										False
STK24	17	1	2	0	0	1	2	ulcerative colitis	Sjogren syndrome;type 1 diabetes mellitus	0.0020209280166830867	0.10000275741061353	0.7406751444329789	2.595212984363622	0.035655336868519634	-0.5546823422582303	ibd_uc_epithelial:0.741,p=0.002	False
STK24-AS1	12	0	2	0	0	0	1		type 1 diabetes mellitus					0.046425021107355885	-0.6095654112314457		False
STK25	17	0	1	0	0	0	1		Crohn disease					0.009881657972539596	-0.6864864882969739		False
STK26	17	3	0	0	0	2	0	Crohn disease;psoriasis		0.011641068791994716	0.17452586869650596	1.3101083066381078	1.6445795981635303			ibd_crohn_epithelial:0.735,p=0.012;ibd_crohn_myeloid:1.31,p=0.015;psoriasis_skin_apc:0.767,p=0.029	False
STK3	17	2	0	0	0	1	0	type 1 diabetes mellitus		0.01820545723859598	0.3341722473079754	1.0381104518366122	1.159228193642236			t1d_stellate_cell:0.941,p=0.018;t1d_acinar_cell:1.04,p=0.048	False
STK31	11	0	1	0	0	0	1		ulcerative colitis					0.0328982936604272	-0.528886136715668		False
STK32A	11	2	2	0	0	2	2	Sjogren syndrome;type 1 diabetes mellitus	psoriasis;ulcerative colitis	0.007634095377838578	0.3164833232638188	1.086258769082719	0.9163825398747966	0.030121347894542645	-1.0567369866459488	t1d_ductal_cell:1.09,p=0.0076;sjogren_gland_epithelial:0.711,p=0.034	False
STK32A-AS1	4	0	0	0	0	0	0										False
STK32B	15	0	0	0	0	0	0										False
STK32C	17	1	1	0	0	1	1	type 1 diabetes mellitus	Crohn disease	0.0035263261887185913	0.17618250911810063	1.435120860009559	0.9132638230787358	0.04627676389182053	-0.9747914375390447	t1d_endothelial_cell:1.44,p=0.0035	False
STK33	13	0	0	0	0	0	0										False
STK35	17	0	1	0	0	0	1		type 1 diabetes mellitus					0.03348250157161875	-0.467198709706933		False
STK36	17	0	0	0	0	0	0										False
STK38	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.031764829412683736	0.3721174056229033	1.2441584682438003	0.7994586564034585			t1d_endothelial_cell:1.24,p=0.032	False
