context	gene	ensembl_id	token_id	n_disease_cells	n_control_cells	n_disease_cells_with_token	mean_shift_to_control_cosine	mean_projection_to_control	mean_embedding_delta_norm	random_mean_shift_to_control_cosine	random_sd_shift_to_control_cosine	random_mean_projection_to_control	interpretation	cosine_shift_z_vs_random	projection_minus_random	candidate_support_flag
sjogren_epithelial	SCARB2	ENSG00000138760	7621	24	24	2	1.2993812561035156e-05	0.0254229921847581	0.3952015340328216	-0.0001452217499415	0.0005790566443025	-0.0066734688524674	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.27322985421074475	0.0320964610372255	False
sjogren_epithelial	GPNMB	ENSG00000136235	7137	24	24	0				-0.0001452217499415	0.0005790566443025	-0.0066734688524674	token_not_detected_in_selected_disease_cells			False
sjogren_epithelial	SPP1	ENSG00000118785	4804	24	24	0				-0.0001452217499415	0.0005790566443025	-0.0066734688524674	token_not_detected_in_selected_disease_cells			False
t1d_acinar	LGALS3	ENSG00000131981	6432	24	24	0				-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	token_not_detected_in_selected_disease_cells			False
t1d_acinar	LGALS1	ENSG00000100097	2170	24	24	0				-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	token_not_detected_in_selected_disease_cells			False
t1d_acinar	LGALS9	ENSG00000168961	12261	24	24	0				-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	token_not_detected_in_selected_disease_cells			False
t1d_acinar	LGALS3BP	ENSG00000108679	3539	24	24	0				-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	token_not_detected_in_selected_disease_cells			False
t1d_acinar	CD44	ENSG00000026508	457	24	24	10	-0.0005692600971087	-0.0543936565518379	0.7225106954574585	-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.8094839704736252	-0.0295015615087727	False
t1d_acinar	TYROBP	ENSG00000011600	309	24	24	0				-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	token_not_detected_in_selected_disease_cells			False
t1d_acinar	CTSB	ENSG00000164733	11238	24	24	0				-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	token_not_detected_in_selected_disease_cells			False
t1d_acinar	CTSL	ENSG00000135047	6899	24	24	0				-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	token_not_detected_in_selected_disease_cells			False
t1d_acinar	CTSD	ENSG00000117984	4727	24	24	2	1.0579824447631836e-05	-0.0145754972472786	0.4961557388305664	-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.026670338986124635	0.0103165977957866	False
t1d_acinar	FABP5	ENSG00000164687	11227	24	24	1	0.0003451108932495	-0.0293667390942573	0.3961505591869354	-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.509078645878949	-0.004474644051192099	False
t1d_acinar	MSR1	ENSG00000038945	554	24	24	0				-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	token_not_detected_in_selected_disease_cells			False
t1d_acinar	SCARB2	ENSG00000138760	7621	24	24	3	-0.0002489686012268	-0.0270882043987512	0.4005943834781647	-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.3476097451768729	-0.0021961093556859997	False
t1d_acinar	GPNMB	ENSG00000136235	7137	24	24	0				-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	token_not_detected_in_selected_disease_cells			False
t1d_acinar	SPP1	ENSG00000118785	4804	24	24	0				-7.915000120798746e-06	0.0006934604235084	-0.0248920950430652	token_not_detected_in_selected_disease_cells			False
t1d_ductal	LGALS3	ENSG00000131981	6432	24	24	0				9.919123517142402e-05	0.0006571699308815	0.0280120725963368	token_not_detected_in_selected_disease_cells			False
t1d_ductal	LGALS1	ENSG00000100097	2170	24	24	0				9.919123517142402e-05	0.0006571699308815	0.0280120725963368	token_not_detected_in_selected_disease_cells			False
