gene	n_sgrna	MHCII_median_low_vs_high_log2	MHCII_mean_low_vs_high_log2	MHCII_positive_sgrna_fraction	MHCII_p	MHCII_t	CD40_median_low_vs_high_log2	CD40_mean_low_vs_high_log2	CD40_positive_sgrna_fraction	CD40_p	CD40_t	PDL1_median_low_vs_high_log2	PDL1_mean_low_vs_high_log2	PDL1_positive_sgrna_fraction	PDL1_p	PDL1_t	MHCII_fdr	MHCII_rank_required_low_vs_high	CD40_fdr	CD40_rank_required_low_vs_high	PDL1_fdr	PDL1_rank_required_low_vs_high
Pik3r4	4	-0.856425359861013	-0.9947416403042504	0.0	0.15694609657225553	-1.8783815076942394	-1.267660714276857	-1.3970824957713033	0.0	0.11247889887350854	-2.225377580889381	-1.2140067626203888	-0.8715455667208255	0.25	0.46760012285691127	-0.8296220950159017	0.9248624482023996	10352.0	0.889841996245348	10722.0	0.8730371921909581	10863.0
Fitm2	4	-0.8565479926339586	-0.9553877036492815	0.25	0.27081499601977044	-1.346576560567325	1.1172907821932578	0.6996269367906145	0.75	0.21679028254430463	1.5594425246065835	-1.3274902450721338	-1.4580503901098227	0.25	0.11863065700232912	-2.1684333598735637	0.9291302535167016	10353.0	0.889841996245348	431.0	0.8688130809597039	11029.0
Ncoa1	4	-0.8576994555479776	-0.4425466385303417	0.25	0.46685838561123055	-0.831148263286626	-2.9392242803203468	-2.168819057476912	0.25	0.14627349068742176	-1.950002005340879	-0.6779921985824187	-1.0003574745836465	0.0	0.08487317491237528	-2.5373889048612925	0.9331841288339487	10354.0	0.889841996245348	11629.0	0.8688130809597039	9449.0
Ccdc163	4	-0.8586131654073745	0.7042566932300662	0.25	0.7168748574087314	0.3985821925637875	1.4149439230830656	1.145561814892953	0.75	0.11066452125218494	2.2428909212090713	0.23059456440743203	0.8309453300579343	0.5	0.5144452629768013	0.7371579095488174	0.9657860862067021	10355.0	0.889841996245348	194.0	0.8843919300292363	3486.0
Pea15a	4	-0.8587712799432219	-0.7812749473580586	0.5	0.3536523954470071	-1.0947389984823002	-0.19295294719138847	-0.10348521672305949	0.5	0.8637936300389548	-0.1867199423185411	0.620398841011486	0.4818575994773706	0.5	0.42429196012279974	0.9225293243822319	0.9291302535167016	10356.0	0.9762189324125039	6703.0	0.8710104723011981	1610.0
Fkbp9	4	-0.8587824302915736	-0.7855352870391914	0.25	0.23327096781277226	-1.4888763228955322	0.38102067481657265	0.12313721903063637	0.75	0.7501977497708728	0.34892678337249367	-0.05456683239383914	-0.505977354900025	0.5	0.5072303973978287	-0.7509291725155535	0.9261885643711756	10357.0	0.954356246278827	2937.0	0.8816955993626222	5755.0
Cyp3a13	4	-0.8596741439112902	-0.905626633029613	0.5	0.21149186747387433	-1.5833985304748428	-0.26913898720993334	-0.24963508731027437	0.5	0.5961029226628423	-0.5909820267176477	0.5074781472256229	0.4139579012866177	0.75	0.6709261784590448	0.4691913384511135	0.9248624482023996	10358.0	0.9295720063298158	7179.0	0.9213118072293864	2052.0
Hoxc9	4	-0.8598528372277384	-0.8624664587417346	0.0	0.014592708550247092	-5.09811141825247	-0.23062960753834022	-0.2765421231726687	0.5	0.6579024085174447	-0.48972768992209575	0.22518238262559204	0.23561557165560587	0.75	0.47400458765605474	0.8165307228865449	0.9248624482023996	10359.0	0.9368444817500361	6937.0	0.8739907317762138	3520.0
Thap7	4	-0.860266254362209	-0.5376798427734473	0.25	0.5899391078185877	-0.6014718811407179	-0.03979666189680578	-0.23253999347160417	0.5	0.6177758033098297	-0.5546958946746056	-0.34815843556939696	0.07302755381678247	0.5	0.9203429881010847	0.10864535709433303	0.9423517594230226	10360.0	0.931399906523427	5719.0	0.9847288466174485	7782.0
Alg11	4	-0.860510235813238	-0.5423619640558721	0.5	0.7606678304291554	-0.333556514753833	1.1533422693071556	1.2303340944620649	1.0	0.08413423272770544	2.5473921883931343	-0.30761587768204807	-0.18426477891748516	0.25	0.6566243769184354	-0.49175659424090074	0.9724039300900835	10361.0	0.889841996245348	380.0	0.9180220673752897	7511.0
