n_requested	latent_event_probability	molecular_progression_hr_per_latent_sd	visit_interval_years	attendance_mechanism	analysis_route	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_probability	maximum_seed_probability	positive_call_probability	negative_call_probability	median_score_z_across_seeds	median_one_step_log_hr_across_seeds	median_usable_n_across_seeds	median_analyzed_events_across_seeds	median_latent_events_across_seeds	median_unconfirmed_latent_events_across_seeds	median_detection_delay_across_seeds	achieved_missing_visit_probability
120	0.15	1.7	0.5	independent_20pct	ascertained_latent_time_oracle	1200	792	0.66	155	0.12916666666666668	0.11136757163483746	0.14933242047885764	0.115	0.1425	0.12833333333333333	0.0008333333333333334	1.1224412796835541	0.36445594115965735	108.0	11.0	16.0	5.0	0.2956656955698335	0.20118402777777777
120	0.15	1.7	0.5	independent_20pct	detected_visit_time	1200	792	0.66	145	0.12083333333333333	0.103591904208821	0.1404946045815863	0.1025	0.14	0.12	0.0008333333333333334	1.091314575508653	0.35197295997698497	108.0	11.0	16.0	5.0	0.2956656955698335	0.20118402777777777
120	0.15	1.7	0.5	independent_20pct	full_latent_time_oracle	1200	1178	0.9816666666666667	322	0.2683333333333333	0.24403186677222335	0.2941132968403771	0.2375	0.295	0.2675	0.0008333333333333334	1.3209346423827772	0.36029811997115774	108.0	16.0	16.0	5.0	0.2956656955698335	0.20118402777777777
120	0.15	1.7	0.5	independent_20pct	midpoint_imputed_time	1200	792	0.66	151	0.12583333333333332	0.10825408961661079	0.14580050916776918	0.11	0.1425	0.125	0.0008333333333333334	1.124575771846257	0.3601716675332244	108.0	11.0	16.0	5.0	0.2956656955698335	0.20118402777777777
120	0.15	1.7	0.5	joint_score_progression_risk_20pct	ascertained_latent_time_oracle	1200	351	0.2925	25	0.020833333333333332	0.014150649278407432	0.03057405963254687	0.015	0.03	0.019166666666666665	0.0016666666666666668	0.5701787025044023	0.20055553712471114	108.0	8.0	16.0	8.0	0.27555377201739406	0.20024826388888892
120	0.15	1.7	0.5	joint_score_progression_risk_20pct	detected_visit_time	1200	351	0.2925	24	0.02	0.013476268672128098	0.029587091906497436	0.0125	0.03	0.018333333333333333	0.0016666666666666668	0.529477862047702	0.1905629199444598	108.0	8.0	16.0	8.0	0.27555377201739406	0.20024826388888892
120	0.15	1.7	0.5	joint_score_progression_risk_20pct	full_latent_time_oracle	1200	1174	0.9783333333333334	336	0.28	0.2553288344087329	0.3060752058564704	0.2675	0.2875	0.28	0.0	1.3867241944105237	0.38445639345543436	108.0	16.0	16.0	8.0	0.27555377201739406	0.20024826388888892
120	0.15	1.7	0.5	joint_score_progression_risk_20pct	midpoint_imputed_time	1200	351	0.2925	24	0.02	0.013476268672128098	0.029587091906497436	0.0125	0.03	0.018333333333333333	0.0016666666666666668	0.5326276983595291	0.204306563967778	108.0	8.0	16.0	8.0	0.27555377201739406	0.20024826388888892
120	0.15	1.7	0.5	score_dependent_20pct	ascertained_latent_time_oracle	1200	499	0.41583333333333333	39	0.0325	0.02386447966792587	0.044119105895631276	0.0225	0.0475	0.03	0.0025	0.6064921906149989	0.19816866319327353	108.0	9.0	16.0	7.0	0.29284366330918304	0.2012743055555555
120	0.15	1.7	0.5	score_dependent_20pct	detected_visit_time	1200	499	0.41583333333333333	34	0.028333333333333332	0.02034551348630239	0.039331330415610884	0.02	0.0425	0.025833333333333333	0.0025	0.609826619607993	0.19121102840925727	108.0	9.0	16.0	7.0	0.29284366330918304	0.2012743055555555
