gene	mean_tweak	mean_vehicle	delta_log2	hedges_g	p_value	q_value_bh
ABLIM3	9.04344239346098	9.92434935145034	-0.8809069579893603	-7.325985292074428	0.00039279940774846774	0.03550565081343758
PRELP	6.960793386415891	8.37262280475594	-1.4118294183400488	-7.124427067244383	0.000403964354770491	0.036293824301359925
TM4SF1	9.768109093247633	6.517613339928843	3.2504957533187895	10.346739801333742	0.00040539839019743595	0.036293824301359925
THY1	16.898111240327847	15.953496921956193	0.944614318371654	7.083686144021027	0.00041497085422100694	0.03697390311109172
SSR3	12.266633586749554	11.818285332615721	0.4483482541338333	9.206854506504204	0.00041858557409766027	0.03711921647839489
RCC2	10.649132101622538	10.039398298997295	0.609733802625243	10.45256503517648	0.00042112431651550075	0.037168193803403464
C16ORF45	10.281522320410902	10.92661345286244	-0.6450911324515385	-12.575809017336796	0.0004240020381739131	0.037246488902685865
MLEC	12.07653505394898	11.746593738559838	0.3299413153891422	8.07767526497089	0.00042746769794695474	0.037375458393857336
EMC6	9.196003498876768	8.933188449930974	0.26281504894579477	8.758882006060166	0.00043019279819804225	0.0374387788236445
PMS2CL	5.776382106943064	6.136900628332132	-0.3605185213890678	-6.9604175911177855	0.00043971032029024496	0.03780924713592694
WDR12	8.609161309726396	7.881610107657624	0.7275512020687716	7.799993894276857	0.00044084377200728206	0.03780924713592694
COL1A1	17.848724041951012	18.17436265130858	-0.3256386093575685	-12.342050566141523	0.00044179328716108636	0.03780924713592694
YIPF1	9.03047577083655	9.360606222263264	-0.33013045142671515	-7.132584083627925	0.0004425324740937416	0.03780924713592694
IGDCC4	9.449271902218571	8.660928061712028	0.7883438405065437	9.433072448037024	0.00045286122399796307	0.03851584710102676
KIAA0020	9.705594783494606	9.202489089301563	0.5031056941930423	6.964043165433596	0.00045850400289582257	0.038819314018930934
MIR100HG	10.765924219055341	10.068758073046773	0.6971661460085681	7.091641378658465	0.00046362998578615997	0.03907648947767945
PKHD1	2.2634543092217774	4.291774849190566	-2.0283205399687887	-7.228702083155665	0.0004657459676688418	0.03907880179843811
PPM1A	9.957373296838503	10.367913705111656	-0.4105404082731532	-14.343892922019496	0.00047356399420709483	0.03955739239111139
HS1BP3	8.59053601594193	8.841041736672153	-0.2505057207302226	-7.014173956219641	0.0004779501429405463	0.03974633388693583
CTDSPL	10.1848444843115	11.038099359594677	-0.8532548752831772	-25.527623384883302	0.0004904805780463759	0.04054482299276562
SUPT5H	11.081645577844798	10.862679871435233	0.21896570640956448	9.522562135582303	0.0004937293313942081	0.04054482299276562
OLR1	11.81235341817976	10.098624564782583	1.7137288533971766	25.764033932519638	0.0004940526771605239	0.04054482299276562
PSME1	11.066591666645037	10.538025390472752	0.5285662761722847	7.306630927678414	0.0005052645619361368	0.04128386558247622
PPT2-EGFL8	7.843514769385574	8.347594104700294	-0.5040793353147199	-10.029565548778194	0.0005095962528390041	0.04142564317846837
CFLAR	11.531588787839107	10.376880703243543	1.1547080845955637	6.680593899643509	0.000517366493079549	0.04142564317846837
DNAJA1	11.646350922106725	11.180463648936316	0.46588727317040934	18.120110587969915	0.0005179883806346883	0.04142564317846837
DYNLT3	8.832533816196172	9.614408749781767	-0.7818749335855948	-7.086652886312994	0.0005181312539820725	0.04142564317846837
ABCA5	8.341298519846864	7.574986413725902	0.7663121061209619	7.1396653652178035	0.0005200594426974581	0.04142564317846837
