path	check	status	detail
knowledge_external	external_root_exists	PASS	knowledge_external
knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json	record_id_present	PASS	resource.arrayexpress_biostudies.functional_genomics.2026-06-13
knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json	claim_present	PASS	resource.arrayexpress_biostudies.functional_genomics.2026-06-13
knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json	epistemic_class_valid	PASS	resource.arrayexpress_biostudies.functional_genomics.2026-06-13
knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json	source_present	PASS	resource.arrayexpress_biostudies.functional_genomics.2026-06-13
knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json	date_accessed_present	PASS	resource.arrayexpress_biostudies.functional_genomics.2026-06-13
knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json	relationship_valid	PASS	resource.arrayexpress_biostudies.functional_genomics.2026-06-13
knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json	not_project_grounded_marker	PASS	resource.arrayexpress_biostudies.functional_genomics.2026-06-13
knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json	why_unverifiable_present	PASS	resource.arrayexpress_biostudies.functional_genomics.2026-06-13
knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json	not_cited_as_project_evidence	PASS	resource.arrayexpress_biostudies.functional_genomics.2026-06-13
knowledge_external/catalogs/resources/biostudies_database.json	record_id_present	PASS	resource.biostudies.database.2026-06-13
knowledge_external/catalogs/resources/biostudies_database.json	claim_present	PASS	resource.biostudies.database.2026-06-13
knowledge_external/catalogs/resources/biostudies_database.json	epistemic_class_valid	PASS	resource.biostudies.database.2026-06-13
knowledge_external/catalogs/resources/biostudies_database.json	source_present	PASS	resource.biostudies.database.2026-06-13
knowledge_external/catalogs/resources/biostudies_database.json	date_accessed_present	PASS	resource.biostudies.database.2026-06-13
knowledge_external/catalogs/resources/biostudies_database.json	relationship_valid	PASS	resource.biostudies.database.2026-06-13
knowledge_external/catalogs/resources/biostudies_database.json	not_project_grounded_marker	PASS	resource.biostudies.database.2026-06-13
knowledge_external/catalogs/resources/biostudies_database.json	why_unverifiable_present	PASS	resource.biostudies.database.2026-06-13
knowledge_external/catalogs/resources/biostudies_database.json	not_cited_as_project_evidence	PASS	resource.biostudies.database.2026-06-13
knowledge_external/catalogs/resources/clinicaltrials_gov.json	record_id_present	PASS	resource.clinicaltrials_gov.2026-06-13
knowledge_external/catalogs/resources/clinicaltrials_gov.json	claim_present	PASS	resource.clinicaltrials_gov.2026-06-13
knowledge_external/catalogs/resources/clinicaltrials_gov.json	epistemic_class_valid	PASS	resource.clinicaltrials_gov.2026-06-13
knowledge_external/catalogs/resources/clinicaltrials_gov.json	source_present	PASS	resource.clinicaltrials_gov.2026-06-13
knowledge_external/catalogs/resources/clinicaltrials_gov.json	date_accessed_present	PASS	resource.clinicaltrials_gov.2026-06-13
knowledge_external/catalogs/resources/clinicaltrials_gov.json	relationship_valid	PASS	resource.clinicaltrials_gov.2026-06-13
knowledge_external/catalogs/resources/clinicaltrials_gov.json	not_project_grounded_marker	PASS	resource.clinicaltrials_gov.2026-06-13
knowledge_external/catalogs/resources/clinicaltrials_gov.json	why_unverifiable_present	PASS	resource.clinicaltrials_gov.2026-06-13
knowledge_external/catalogs/resources/clinicaltrials_gov.json	not_cited_as_project_evidence	PASS	resource.clinicaltrials_gov.2026-06-13
knowledge_external/catalogs/resources/dailymed_drug_labels.json	record_id_present	PASS	resource.dailymed.drug_labels.2026-06-13
knowledge_external/catalogs/resources/dailymed_drug_labels.json	claim_present	PASS	resource.dailymed.drug_labels.2026-06-13
knowledge_external/catalogs/resources/dailymed_drug_labels.json	epistemic_class_valid	PASS	resource.dailymed.drug_labels.2026-06-13
knowledge_external/catalogs/resources/dailymed_drug_labels.json	source_present	PASS	resource.dailymed.drug_labels.2026-06-13
knowledge_external/catalogs/resources/dailymed_drug_labels.json	date_accessed_present	PASS	resource.dailymed.drug_labels.2026-06-13
knowledge_external/catalogs/resources/dailymed_drug_labels.json	relationship_valid	PASS	resource.dailymed.drug_labels.2026-06-13
knowledge_external/catalogs/resources/dailymed_drug_labels.json	not_project_grounded_marker	PASS	resource.dailymed.drug_labels.2026-06-13
knowledge_external/catalogs/resources/dailymed_drug_labels.json	why_unverifiable_present	PASS	resource.dailymed.drug_labels.2026-06-13
knowledge_external/catalogs/resources/dailymed_drug_labels.json	not_cited_as_project_evidence	PASS	resource.dailymed.drug_labels.2026-06-13
knowledge_external/catalogs/resources/disgenet_platform.json	record_id_present	PASS	resource.disgenet.platform.2026-06-13
