seed	mode	effect	arrival	n_responders	n_nonresponders	mean_p	minimum_p	maximum_mean_e_factor	mean_unique_score_levels
57131	v42_plus_one_mc_tied	0.0	4	7	7	0.5238757524247576	0.00029997000299970003	0.9736316468005559	4.77744
57131	v42_plus_one_mc_tied	0.0	5	8	8	0.52004399760024	0.00039996000399960006	0.9790750587360474	4.8597
57131	v42_plus_one_mc_tied	0.0	6	10	10	0.515952404759524	0.00019998000199980003	0.9835149184379188	4.94168
57131	v42_plus_one_mc_tied	0.0	7	4	5	0.5515356124387562	0.0058994100589941	0.9453279711070833	4.32614
57131	v42_plus_one_mc_tied	0.0	8	5	5	0.5424365603439657	0.0028997100289971	0.9540532240930116	4.46178
57131	v42_plus_one_mc_tied	0.0	9	6	6	0.528770806919308	0.0004999500049995	0.9674581432863936	4.6582
57131	v42_plus_one_mc_tied	0.0	10	7	7	0.5253561403859613	0.00029997000299970003	0.9724880414423437	4.7784
57131	v42_plus_one_mc_tied	0.0	11	8	8	0.5191414278572143	0.00029997000299970003	0.979788816291548	4.85702
57131	v42_plus_one_mc_tied	0.0	12	10	10	0.5123525927407259	0.00019998000199980003	0.9871976887186213	4.9415
57131	v42_plus_one_mc_tied	0.5	1	4	5	0.36343312468753114	0.0053994600539946005	1.2139244213002367	4.27624
57131	v42_plus_one_mc_tied	0.5	2	5	5	0.34522033396660334	0.0022997700229977	1.3152008259634718	4.39608
57131	v42_plus_one_mc_tied	0.5	3	6	6	0.315834300569943	0.0004999500049995	1.6736988569349336	4.58526
57131	v42_plus_one_mc_tied	0.5	4	7	7	0.29085424857514247	9.999000099990002e-05	2.1240837120598877	4.72096
57131	v42_plus_one_mc_tied	0.5	5	8	8	0.2734113308669133	9.999000099990002e-05	2.6397736250858013	4.80794
57131	v42_plus_one_mc_tied	0.5	6	10	10	0.24226179182081792	9.999000099990002e-05	3.61443497775875	4.90898
57131	v42_plus_one_mc_tied	0.5	7	4	5	0.364477902209779	0.0053994600539946005	1.2104870302672615	4.2809
57131	v42_plus_one_mc_tied	0.5	8	5	5	0.34584049595040495	0.0023997600239976003	1.317179863725664	4.39082
57131	v42_plus_one_mc_tied	0.5	9	6	6	0.3147639816018398	0.00029997000299970003	1.6860876020959799	4.59028
57131	v42_plus_one_mc_tied	0.5	10	7	7	0.2941165263473653	9.999000099990002e-05	2.112704971194289	4.71638
57131	v42_plus_one_mc_tied	0.5	11	8	8	0.27351201879812015	9.999000099990002e-05	2.5748918566754377	4.80788
57131	v42_plus_one_mc_tied	0.5	12	10	10	0.24155610438956102	9.999000099990002e-05	3.6799877548789834	4.90996
57131	v42_plus_one_mc_tied	0.9	1	4	5	0.2462433216678332	0.0051994800519948	1.700790843814256	4.16814
57131	v42_plus_one_mc_tied	0.9	2	5	5	0.2200548825117488	0.0024997500249975004	2.2048631378151344	4.25436
57131	v42_plus_one_mc_tied	0.9	3	6	6	0.18545799420057993	0.00039996000399960006	3.352027575266115	4.46626
57131	v42_plus_one_mc_tied	0.9	4	7	7	0.15654066593340665	9.999000099990002e-05	4.908243905489793	4.61824
57131	v42_plus_one_mc_tied	0.9	5	8	8	0.13729040695930408	9.999000099990002e-05	6.889726216642821	4.72004
57131	v42_plus_one_mc_tied	0.9	6	10	10	0.10468601739826015	9.999000099990002e-05	11.495393143200316	4.84968
57131	v42_plus_one_mc_tied	0.9	7	4	5	0.2419456914308569	0.0052994700529947	1.7132305203134526	4.17134
57131	v42_plus_one_mc_tied	0.9	8	5	5	0.22048242975702428	0.0023997600239976003	2.2015960849249274	4.25844
57131	v42_plus_one_mc_tied	0.9	9	6	6	0.1849074912508749	0.00029997000299970003	3.3021172877135787	4.47464
57131	v42_plus_one_mc_tied	0.9	10	7	7	0.1585195800419958	9.999000099990002e-05	4.896552949024038	4.61396
57131	v42_plus_one_mc_tied	0.9	11	8	8	0.13525416058394163	9.999000099990002e-05	6.988325017406546	4.72098
57131	v42_plus_one_mc_tied	0.9	12	10	10	0.10597443255674432	9.999000099990002e-05	11.62573831464468	4.85138
57132	exact_tied	0.0	1	4	5	0.5515728571428571	0.007936507936507936	0.9444696432228297	4.331
57132	exact_tied	0.0	2	5	5	0.5411415079365078	0.003968253968253968	0.9550345248642551	4.46032
