predictor	analysis	disease_name	compartment	n_case	n_control	delta_case_minus_control_z	p	positive_nominal
gene:IDO1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.1538854453728344	0.2763748287526042	False
gene:IDO1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.5634719199411433	0.42264973081037416	False
gene:IDO1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	1.2646840743701173	0.23820490005873152	False
gene:IDO1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.08771614735312797	0.8593559742800303	False
gene:IDO1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	1.4373663432006492	0.26566399653726425	False
gene:HAPLN3	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.8615088309480887	0.16342629451323415	False
gene:HAPLN3	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.1589884326904976	0.05376182727600258	True
gene:HAPLN3	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	1.3327023140152963	0.013959645245580653	True
gene:HAPLN3	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.0080622490016558	0.10585609297582722	False
gene:HAPLN3	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.2724430416078625	0.018459071180213716	True
gene:HAPLN3	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.257532905154075	0.031044787787563536	True
gene:HAPLN3	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.4294604896401943	0.07871745236283072	True
gene:HAPLN3	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.8077576844022678	0.0015909108844034388	True
gene:HAPLN3	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.2666245520556079	0.14214014746779655	False
gene:HAPLN3	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.2013124284872802	0.6101427173480843	False
gene:HAPLN3	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.2761529773241506	0.50335252195152	False
gene:HAPLN3	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.05774684949030515	0.8944678188020991	False
gene:HAPLN3	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.5349312880954256	0.010964411890550028	True
gene:HAPLN3	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.6783863783117827	0.3463779167103933	False
gene:HAPLN3	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	1.811938472710246	0.018324568490067618	True
gene:HAPLN3	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.05390026104709136	0.8919505415093664	False
gene:HAPLN3	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	-0.32912094358578203	0.4245961917534483	False
gene:PI15	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.6029802616107157	0.3381691973267083	False
gene:PI15	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.5773502691896257	0.3632174676491227	False
gene:PI15	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	1.0110275791994447	0.10646214976160918	False
gene:PI15	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	-0.2734015118013865	0.6615508793844531	False
gene:PI15	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.083478008306281	0.08213179636612813	True
gene:PI15	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	0.4452017396101442	0.6421042297788525	False
gene:PI15	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.6021510827159755	0.0662292719165159	True
gene:PI15	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.056305097502794	0.891655576457156	False
gene:PI15	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.13732407156092738	0.768546284858557	False
gene:PI15	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.009995373378419	0.3125466773503946	False
gene:PI15	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.6822747755489788	0.5829598422557537	False
gene:PI15	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.1571409572759131	0.6115828697249194	False
gene:PI15	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.13008478036284393	0.8081118520328608	False
gene:PI15	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.5848748384064241	0.388802835929071	False
gene:IL15	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.5124363282072599	0.4095184302968957	False
gene:IL15	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.1706610494827463	0.051029401503515086	True
gene:IL15	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.031337205456617126	0.9599400871564624	False
gene:IL15	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	-0.6789818730867134	0.27657085451504504	False
gene:IL15	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.155624154199655	0.04764960396007589	True
gene:IL15	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.5743851594387492	0.3500931565124548	False
gene:IL15	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.21541303754327	0.1783193322453055	False
gene:IL15	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.34024847795758	0.14910267723905576	False
gene:IL15	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.5933835038108608	0.03416065598257368	True
gene:IL15	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.875687491820284	0.04848332929789658	True
gene:IL15	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.17714550443352794	0.6745359319239326	False
gene:IL15	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.33320973400628656	0.4488275398897761	False
gene:IL15	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.4011281839097725	0.14520368519763177	False
gene:IL15	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.6893813245459288	0.25724470325302634	False
gene:IL15	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	1.136249795215879	0.03502277966223882	True
gene:IL15	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.6196869332585656	0.29686870000731613	False
gene:IL15	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	1.069800757808441	0.28011490655399307	False
gene:RREB1	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.6597480481514097	0.000339859239454552	True
gene:RREB1	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.03361274948603114	0.9573730472472074	False
gene:RREB1	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.13246832315555346	0.8309932164586809	False
gene:RREB1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.1413648041805164	0.04421027537466473	True
gene:RREB1	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.8021336098700678	0.17545402398098617	False
gene:RREB1	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.10074713256045738	0.8710587744559476	False
gene:RREB1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.3573847169176432	0.13436288065822435	False
gene:RREB1	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.6375874187556472	0.5042629873427801	False
gene:RREB1	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.5394956237912418	0.05635237773788862	True
gene:RREB1	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.5379127210190904	0.20691687571303957	False
gene:RREB1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.492643551607605	0.20337792467920693	False
gene:RREB1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.6799064837284154	0.08201593656011044	False
gene:RREB1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	-0.3243569459125296	0.5865813506623744	False
gene:RREB1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.4606853457862857	0.30725467705908655	False
gene:RREB1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.2189471679470347	0.6974609326180301	False
gene:RREB1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-1.0200463538340214	0.006385785853160369	False
gene:RREB1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	-0.5415576488094594	0.2233228654729948	False
gene:COL4A1	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	-0.8120919387144998	0.19411954661973024	False
gene:COL4A1	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.9011624287566058	0.15247283905193323	False
gene:COL4A1	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	1.7236412391738378	0.00014727800902323567	True
gene:COL4A1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.11186584611241035	0.8584006735668114	False
gene:COL4A1	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.2439106868277512	0.03507780027327423	True
gene:COL4A1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.312445315124702	0.16076204646791306	False
gene:COL4A1	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.6415218657765758	0.033498854301480425	True
gene:COL4A1	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.6161256168220708	0.052069523689902586	True
gene:COL4A1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.19815459997076967	0.6237480168251632	False
gene:COL4A1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.6279792287179276	0.14443889392906234	False
gene:COL4A1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.274931044453248	0.16327525538435533	False
gene:COL4A1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.7026788637945308	0.46219050313417936	False
gene:COL4A1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	1.0886679435676825	0.17855716750024087	False
gene:COL4A1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.2885537842551116	0.7003106307828108	False
gene:COL4A1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	-0.3060373156189671	0.6737571843489949	False
gene:BCL2L14	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.5675828701980873	0.35239952458915685	False
gene:BCL2L14	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.027436596780269	0.09913190893183703	True
gene:BCL2L14	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.5773502691896258	0.3632174676491227	False
gene:BCL2L14	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.31411447061765385	0.6105179669223999	False
gene:BCL2L14	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.3135722832341272	0.02675811408215235	True
gene:BCL2L14	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.3667240718971456	0.5592164065612089	False
gene:BCL2L14	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	0.38978255330688805	0.6847777162474592	False
gene:BCL2L14	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.8101517265956005	0.40198504351795	False
gene:BCL2L14	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	0.8472520608830885	0.354310650384737	False
gene:BCL2L14	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	1.0220758507377143	0.05534934469902795	True
gene:BCL2L14	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.10590574018569579	0.797100653080332	False
gene:BCL2L14	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.392439903619629	0.41833531771364435	False
gene:BCL2L14	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	-0.15094265185003314	0.8055078466914367	False
gene:BCL2L14	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.6809069350768375	0.011099579450613328	False
gene:BCL2L14	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.08125727362605932	0.8497420100430753	False
gene:BCL2L14	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.21003470334547938	0.5166191746125278	False
gene:BCL2L14	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.5947107772591228	0.5165860913440877	False
gene:CTNNB1	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.1349319207060018	0.052097244099681424	True
gene:CTNNB1	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.08859623563440014	0.8864621580558358	False
gene:CTNNB1	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.8878528431018468	0.1322171063892409	False
gene:CTNNB1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.5176140920052186	0.0036722767281788826	True
gene:CTNNB1	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.0374254715336868	0.06958047808058694	True
gene:CTNNB1	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.1069982774098344	0.050439839350078224	True
gene:CTNNB1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	-1.377080432148023	0.09493380891665647	False
gene:CTNNB1	psoriasis_skin_apc	psoriasis	skin APC	3	3	-0.916391573629024	0.3653538223581555	False
gene:CTNNB1	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	0.9587474558634732	0.2849077075020125	False
gene:CTNNB1	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.6340908439697897	0.13719741959445467	False
gene:CTNNB1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.23008658398475618	0.5773828479132683	False
gene:CTNNB1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.5585417856034205	0.20135224897577172	False
gene:CTNNB1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.9309673766684081	0.02170884542929577	True
gene:CTNNB1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.8204111294341362	0.14462945106723055	False
gene:CTNNB1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.3363200101164059	0.3061541847842399	False
gene:CTNNB1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.2174867473199911	0.5577417890745029	False
gene:CTNNB1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	1.0199399487768082	0.059319274175990255	True
gene:JAK2	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.4832666747227465	0.0032805533066812363	True
gene:JAK2	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.2922152611181061	0.029570286856427288	True
gene:JAK2	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.8174276127452147	0.1712882196980551	False
gene:JAK2	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.24815223370833445	0.6918106577060151	False
gene:JAK2	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.954194608029557	0.10575709117998862	False
gene:JAK2	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	-0.2669151107817931	0.6657221423259051	False
gene:JAK2	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	0.6980339412724085	0.4886073811512906	False
gene:JAK2	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.3989048252705751	0.11407993869747565	False
gene:JAK2	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.202856132639317	0.22059172144747616	False
gene:JAK2	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.08502319405028648	0.8633164476423261	False
gene:JAK2	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.5467918458448351	0.15967555229337302	False
gene:JAK2	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.14182464917933796	0.7460481261772028	False
gene:JAK2	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	-0.35215820882374765	0.47679523047377587	False
gene:JAK2	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.4431323432297565	0.6262373432849832	False
gene:JAK2	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.40951140777893297	0.1974148124617738	False
gene:JAK2	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.4663781944926935	0.20207612055534613	False
gene:JAK2	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	-0.30539958848411264	0.2952588066039413	False
gene:LAMB3	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	-0.4387915580350696	0.4763083241640878	False
gene:LAMB3	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.4393665260285164	0.008318834105971722	True
gene:LAMB3	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.6867746592176864	0.26449052721134086	False
gene:LAMB3	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.5759463901603457	0.35392234196208583	False
gene:LAMB3	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.4306244904194887	0.014107136207383323	True
gene:LAMB3	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.21361694702659345	0.7327432515263718	False
gene:LAMB3	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	0.21892351001405969	0.8251674158681365	False
gene:LAMB3	psoriasis_skin_apc	psoriasis	skin APC	3	3	-0.8572503170446879	0.36781669069969497	False
gene:LAMB3	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.6002670197270288	0.05109101933743003	True
gene:LAMB3	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.29337354018465517	0.49053191536752094	False
gene:LAMB3	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.3818985039903263	0.3866578373033785	False
gene:LAMB3	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.326668676568989	0.4897125580145786	False
gene:LAMB3	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.5761147520592192	0.4952611481080035	False
gene:LAMB3	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.04150362863479591	0.972229470209692	False
gene:LAMB3	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.1404082323517886	0.7953842977638816	False
gene:LAMB3	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.19561297955272539	0.7354018946395339	False
gene:LAMB3	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.9295499648723623	0.25679201422506087	False
gene:SIGLEC10	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	-0.8901906361991149	0.1454099869607819	False
gene:SIGLEC10	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.3779075605013753	0.5425061343305227	False
gene:SIGLEC10	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.226617275653122	0.7161592823219322	False
gene:SIGLEC10	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.11790277200003327	0.851422315652705	False
gene:SIGLEC10	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.9362174753482497	0.11411972970382063	False
gene:SIGLEC10	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	-0.5773502691896257	0.3632174676491227	False
gene:SIGLEC10	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.3618233218632385	0.09316649865380278	True
gene:SIGLEC10	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.2725489997564368	0.17204473124584446	False
gene:SIGLEC10	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	-0.2645618214367936	0.7880433729542391	False
gene:SIGLEC10	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.6247390140076711	0.11133356954495789	False
gene:SIGLEC10	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.4431159093215259	0.34989740132791836	False
gene:SIGLEC10	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.07624720784409758	0.8498933039943122	False
gene:SIGLEC10	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	-0.3197896239518931	0.2452187818804283	False
gene:SIGLEC10	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.7036945694800594	0.008931669203348525	False
gene:SIGLEC10	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.044298322565752876	0.873890854216689	False
gene:SIGLEC10	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.2759068094013788	0.3321949846529784	False
gene:SIGLEC10	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.12864272528560047	0.7913761856700049	False
gene:CD200R1	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.5773502691896257	0.36321746764912255	False
gene:CD200R1	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-1.5816077930523667	0.0014248484753991264	False
gene:CD200R1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.5773502691896257	0.36321746764912255	False
gene:CD200R1	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	-1.1153009700872336	0.051180975716740046	False
gene:CD200R1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	-0.9029658381523753	0.3514741620578319	False
gene:CD200R1	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.5080702467543101	0.5934545506979124	False
gene:CD200R1	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	-0.34701956622681385	0.728084551545029	False
gene:CD200R1	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.11569820299182504	0.7807525869100472	False
gene:CD200R1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.3903631410147752	0.3529616794111558	False
gene:CD200R1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.3433901035666819	0.3738200947251717	False
gene:CD200R1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	-0.2347133017625519	0.6377763550732227	False
gene:CD200R1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.5770735055990087	0.02868122885905432	False
gene:CD200R1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.2800136992664086	0.6253430774419759	False
gene:CD200R1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.33057776424992713	0.2725486187395532	False
gene:CD200R1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.6966330945133284	0.37702538010003706	False
gene:MIF	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.1294319843735723	0.05442474712056055	True
gene:MIF	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.6459092525645784	0.2857034704140522	False
gene:MIF	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.9314471895980363	0.1141662366881659	False
gene:MIF	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.2508085206840255	0.6850083938634082	False
gene:MIF	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	-0.07016796495496348	0.9102289484598147	False
gene:MIF	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.11576597695985597	0.8520413822130353	False
gene:MIF	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.41125252990260885	0.34445926994753207	False
gene:MIF	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.034540243416872084	0.9352732008487519	False
gene:MIF	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.17847569952803438	0.7018443402641784	False
gene:MIF	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.0015522375079855	0.03441365865118844	True
gene:MIF	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.42636715587492385	0.4822580210944165	False
gene:MIF	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.5479446604400031	0.15915986369692345	False
gene:MIF	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.7518991981992672	0.03097895732272305	True
gene:MIF	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.9970704551587999	0.0022903628826489515	True
gene:SEC61B	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.06897816348301457	0.9123370503316773	False
gene:SEC61B	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.6395747579172542	0.3022947213375663	False
gene:SEC61B	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.9953372615686509	0.08823938059983938	True
gene:SEC61B	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.09062909132109598	0.884445358147472	False
gene:SEC61B	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.6806105006201055	0.26541181883672443	False
gene:SEC61B	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.4726421027061303	0.003462853281958044	True
gene:SEC61B	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.6243810112622972	0.017846277068778237	True
gene:SEC61B	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.5251798463890927	0.03856689883781011	True
gene:SEC61B	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.802241894701292	0.0010067499444642893	True
gene:SEC61B	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.3455422517525779	0.4127063380912233	False
gene:SEC61B	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.006861992192654152	0.9866566914846371	False
gene:SEC61B	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.31148981761326466	0.40851457604577907	False
gene:SEC61B	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	-0.28746888470373677	0.685864541178021	False
gene:SEC61B	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-1.0529557070130213	0.0002356680585862461	False
gene:SEC61B	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.5015592634872358	0.5616781005503062	False
gene:SEC61B	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.4190511621409746	0.4363640028602839	False
gene:SEC61B	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	-0.3256135804990427	0.33977852552093524	False
gene:KYNU	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.8610443582368451	0.17187935897081122	False
gene:KYNU	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.3740526017455266	0.01816515345447149	True
gene:KYNU	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	1.2769599285165418	0.03667537747638936	True
gene:KYNU	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.3203986708182969	0.02961204858591383	True
