samplegroup	module	contrast	n_test	n_reference	mean_test	mean_reference	delta_test_minus_reference	hedges_g	welch_p
SPRA	decoupling_hla_minus_cd64	postpartum_6mo_vs_trimester_3	14	14	0.4126086113267906	-0.5152655307461989	0.9278741420729895	2.038416292553617	9.080044805769212e-06
SPRA	decoupling_hla_minus_cd64	postpartum_12mo_vs_trimester_3	5	14	0.4564733953002955	-0.5152655307461989	0.9717389260464944	1.9315011997961342	0.004624773944950363
SPRA	decoupling_hla_minus_cd64	trimester_3_vs_trimester_1	14	16	-0.5152655307461989	0.005112637492146979	-0.5203781682383458	-0.899491213301853	0.015909049373355796
SPRA	hla_ii_only	postpartum_6wk_vs_trimester_3	17	14	0.15939681325698482	-0.4412691456932157	0.6006659589502005	0.627294918650233	0.09583930025864994
SPRA	hla_ii_only	postpartum_6mo_vs_trimester_3	14	14	0.4873321542183563	-0.4412691456932157	0.928601299911572	0.9165524574165662	0.019411845574385897
SPRA	hla_ii_only	postpartum_12mo_vs_trimester_3	5	14	1.0040847808049496	-0.4412691456932157	1.4453539264981652	1.320144470240996	0.02294165182888494
SPRA	hla_ii_only	trimester_3_vs_trimester_1	14	16	-0.4412691456932157	0.009762076454720103	-0.4510312221479358	-0.40526946347532133	0.26426751343218646
SPRA	lysosomal_apc	postpartum_6wk_vs_trimester_3	17	14	-0.042346834763822554	-0.14040369012097198	0.09805685535714942	0.1165401074324096	0.747372547806518
SPRA	lysosomal_apc	postpartum_6mo_vs_trimester_3	14	14	0.029447678229618534	-0.14040369012097198	0.1698513683505905	0.19698561485800142	0.5960679904531115
SPRA	lysosomal_apc	postpartum_12mo_vs_trimester_3	5	14	0.4552474482681629	-0.14040369012097198	0.5956511383891349	0.6442729389538856	0.21682901098464474
SPRA	lysosomal_apc	trimester_3_vs_trimester_1	14	16	-0.14040369012097198	0.25505878855027964	-0.3954624786712516	-0.46833932607103995	0.2056040246302662
SPRA	monocyte_cd64	postpartum_6wk_vs_trimester_3	17	14	-0.10090229327771708	0.07399638505298321	-0.17489867833070027	-0.2441264943259472	0.5081795541718985
SPRA	monocyte_cd64	postpartum_6mo_vs_trimester_3	14	14	0.07472354289156566	0.07399638505298321	0.0007271578385824456	0.0009423621301995354	0.997971302406119
SPRA	monocyte_cd64	postpartum_12mo_vs_trimester_3	5	14	0.5476113855046539	0.07399638505298321	0.4736150004516707	0.5728346702222173	0.2453060851327419
SPRA	monocyte_cd64	trimester_3_vs_trimester_1	14	16	0.07399638505298321	0.00464943896257311	0.0693469460904101	0.08967395383344201	0.8053682766530939
SPRA	regulatory_pregnancy	postpartum_6wk_vs_trimester_3	17	14	0.5213843307335695	-0.24696317138301474	0.7683475021165842	1.179005996153822	0.002402331051162454
SPRA	regulatory_pregnancy	postpartum_6mo_vs_trimester_3	14	14	0.45889272970710565	-0.24696317138301474	0.7058559010901204	1.1440244959526042	0.00450202810060314
SPRA	regulatory_pregnancy	postpartum_12mo_vs_trimester_3	5	14	0.5703385126447371	-0.24696317138301474	0.8173016840277518	1.2018532846821168	0.048361795362384545
SPRA	regulatory_pregnancy	trimester_3_vs_trimester_1	14	16	-0.24696317138301474	0.09739417456931179	-0.34435734595232653	-0.5029005402224104	0.16737863339020373
