analysis	disease_name	compartment	role	gene	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	TASL_CXorf21	detection_fraction	3.0	3.0	0.18892543859649122	0.11208863198458574	0.07683680661190548	2.679221121780713	4.101702910281185	0.02607137526042134	0.5986735394077064
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	TLR7	mean_z_vs_controls	3.0	3.0	-0.04946264385571882	-0.013786533344962834	-0.03567611051075599	-0.2688857004588922	-0.411645478284454	0.7018080927491891	1.0
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	TLR7	detection_fraction	3.0	3.0	0.08845029239766082	0.08342196531791908	0.00502832707974174	0.1501516392439717	0.229871812618868	0.8312797705314985	1.0
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	TLR8	mean_z_vs_controls	3.0	3.0	0.30491646078640544	0.007415530244043044	0.2975009305423624	1.8089072036528409	2.769312275621397	0.09501557492730064	0.5986735394077064
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	TLR8	detection_fraction	3.0	3.0	0.08497807017543858	0.03422736030828516	0.050750709867153423	2.1612253097022553	3.30868701747442	0.0699720826117822	0.5986735394077064
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	TLR9	mean_z_vs_controls	3.0	3.0	0.0	0.0	0.0				1.0
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	TLR9	detection_fraction	3.0	3.0	0.0	0.0	0.0				1.0
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	UNC93B1	mean_z_vs_controls	3.0	3.0	0.3008399433126614	-0.0008172794719716512	0.30165722278463303	1.1253813277813425	1.7228812619500702	0.22687170317214897	0.7387473918287242
psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	UNC93B1	detection_fraction	3.0	3.0	0.3535818713450292	0.22625048169556838	0.12733138964946084	1.573398923524924	2.4087653278002468	0.11190352422561893	0.5986735394077064
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	IRF5	mean_z_vs_controls	3.0	3.0	-0.03289035292926155	0.005976211070092041	-0.038866563999353586	-1.3635646168329392	-2.0875234640964746	0.10621002609547472	0.5986735394077064
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	IRF5	detection_fraction	3.0	3.0	0.0064838839344458785	0.009013060293581081	-0.0025291763591352026	-0.6254146643176152	-0.9574667532701142	0.4156010840000637	0.7644638317404407
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	SLC15A4	mean_z_vs_controls	3.0	3.0	0.02571412222950713	0.014401985927180045	0.011312136302327086	0.18114575658600593	0.2773216704413249	0.7952805452504075	1.0
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	SLC15A4	detection_fraction	3.0	3.0	0.1404014547573418	0.11467077486469841	0.025730679892643396	1.5721145979320534	2.4067991138214158	0.07674961867983891	0.5986735394077064
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	TASL_CXorf21	mean_z_vs_controls	3.0	3.0	0.02406569464526	-0.0010344890528449129	0.025100183698104912	1.8531773582585815	2.8370868316327638	0.0720614737775839	0.5986735394077064
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	TASL_CXorf21	detection_fraction	3.0	3.0	0.002533209676285642	0.001127626832802521	0.0014055828434831209	2.2568409929609135	3.455068039593975	0.050327996419614336	0.5986735394077064
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	TLR7	mean_z_vs_controls	3.0	3.0	0.014112923069545605	0.007409485057684931	0.006703438011860674	0.23339836817447235	0.3573168180160635	0.7402163223035537	1.0
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	TLR7	detection_fraction	3.0	3.0	0.0013097368967764616	0.0010976832459901008	0.0002120536507863608	0.20583908724325292	0.3151254580413748	0.7685378469114788	1.0
psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	TLR8	mean_z_vs_controls	3.0	3.0	0.034594326799974935	0.004092403728314056	0.03050192307166088	0.5083463558302909	0.7782432402421907	0.49554096893699123	0.8438982189293189
